coin,date,open,high,low,close,volume,marketcap,average
bitcoin,20140915,477.76,478.62,474.02,475.37,15345200,6339090000,476.32
bitcoin,20140915,477.76,478.62,474.02,475.37,15345200,6339090000,476.32
ripple,20140915,0.005127,0.005245,0.005020,0.005050,319290,148637000,0.01
litecoin,20140915,5.40,5.42,5.15,5.18,3140670,173095000,5.29
stellar,20140915,0.002874,0.003107,0.002692,0.002896,72903,3394810,0.00
dash,20140915,2.80,3.37,2.77,3.07,288266,13008200,3.07
monero,20140915,1.82,1.91,1.81,1.90,132403,6241990,1.86
bytecoin-bcn,20140915,0.000017,0.000018,0.000017,0.000017,6129,2698560,0.00
bitshares,20140915,0.036889,0.037562,0.032422,0.033437,891488,73774500,0.03
dogecoin,20140915,0.000340,0.000356,0.000309,0.000326,3401030,31305100,0.00
digibyte,20140915,0.000124,0.000134,0.000123,0.000123,2528,186554,0.00
reddcoin,20140915,0.000062,0.000071,0.000058,0.000071,30884,1698000,0.00
monacoin,20140915,0.117269,0.130964,0.103612,0.103612,6429,1412600,0.12
digitalnote,20140915,0.000140,0.000146,0.000138,0.000139,13634,863975,0.00
nxt,20140915,0.037845,0.038218,0.036761,0.037264,118144,37845100,0.04
bitcoindark,20140915,6.18,6.18,5.54,5.78,75015,7319860,5.86
maidsafecoin,20140915,0.019624,0.021336,0.019238,0.019656,3271,8880750,0.02
syscoin,20140915,0.001052,0.001155,0.001018,0.001155,4638,388857,0.00
gamecredits,20140915,0.000024,0.000024,0.000024,0.000024,0,618,0.00
vertcoin,20140915,0.100907,0.106205,0.099336,0.102126,8708,792276,0.10
ubiq,20140915,0.019378,0.025634,0.019236,0.023555,13350,59122,0.02
nav-coin,20140915,0.001290,0.001398,0.001041,0.001127,178,73713,0.00
emercoin,20140915,0.004061,0.004955,0.003783,0.003794,511,134661,0.00
einsteinium,20140915,0.000317,0.000348,0.000312,0.000337,228,43330,0.00
burst,20140915,0.001031,0.001400,0.001031,0.001124,2497,,0.00
viacoin,20140915,0.166921,0.176064,0.165042,0.169671,25025,1845700,0.17
peercoin,20140915,0.791561,0.815799,0.784527,0.806403,49395,17193800,0.80
counterparty,20140915,2.44,2.48,2.37,2.37,4758,6451540,2.42
hempcoin,20140915,0.000906,0.001039,0.000556,0.000635,2665,109452,0.00
mooncoin,20140915,2.7e-07,5.9e-07,2.6e-07,2.6e-07,294,48121,0.00
cloakcoin,20140915,0.136151,0.137591,0.124346,0.128894,26810,616582,0.13
groestlcoin,20140915,0.001917,0.002074,0.001245,0.001447,2098,97577,0.00
gulden,20140915,0.004364,0.004438,0.003879,0.004289,5565,510305,0.00
feathercoin,20140915,0.022910,0.023188,0.019014,0.019233,6217,1257040,0.02
iocoin,20140915,0.019791,0.019791,0.017192,0.018606,23905,317114,0.02
namecoin,20140915,1.06,1.06,1.02,1.02,28295,10349900,1.04
eccoin,20140915,0.000001,0.000001,0.000001,0.000001,34,23971,0.00
potcoin,20140915,0.003751,0.003867,0.003729,0.003867,3202,548123,0.00
newyorkcoin,20140915,5.8e-08,2.8e-07,3.4e-09,2.5e-07,84,5612,0.00
solarcoin,20140915,0.003259,0.004032,0.003228,0.003581,596,99413,0.00
dimecoin,20140915,5.4e-08,1e-07,5.1e-08,5.2e-08,34,14569,0.00
diamond,20140915,0.068171,0.075505,0.068071,0.071252,120,40306,0.07
blackcoin,20140915,0.052027,0.086658,0.051233,0.076037,694432,3884940,0.07
myriad,20140915,0.000236,0.000257,0.000234,0.000249,1513,136241,0.00
faircoin,20140915,0.003636,0.004760,0.003636,0.004140,1752,182819,0.00
mintcoin,20140915,0.000013,0.000018,0.000010,0.000013,593,266883,0.00
omni,20140915,4.55,4.55,4.30,4.43,834,2564270,4.42
whitecoin,20140915,0.000389,0.000401,0.000346,0.000366,824,117956,0.00
neoscoin,20140915,0.074580,0.080682,0.069512,0.072992,3272,114737,0.08
earthcoin,20140915,0.000010,0.000014,0.000010,0.000010,207,44198,0.00
fedoracoin,20140915,1.9e-07,2.5e-07,1.8e-07,2.2e-07,454,52248,0.00
rubycoin,20140915,0.003826,0.004175,0.003334,0.004167,538,85141,0.00
vericoin,20140915,0.064136,0.064869,0.061488,0.064174,9502,1721990,0.06
pinkcoin,20140915,0.000654,0.000717,0.000617,0.000666,2898,238071,0.00
florincoin,20140915,0.000328,0.000479,0.000313,0.000321,77,23052,0.00
clams,20140915,0.367879,0.407440,0.332760,0.332760,73,34965,0.37
stealthcoin,20140915,0.043186,0.051255,0.027790,0.039782,280308,906322,0.04
noblecoin,20140915,0.000033,0.000045,0.000031,0.000044,848,66271,0.00
energycoin,20140915,0.000139,0.000278,0.000133,0.000172,596,15612,0.00
carboncoin,20140915,0.000005,0.000005,0.000005,0.000005,0,66464,0.00
zeitcoin,20140915,0.000001,0.000001,8.3e-07,9.3e-07,74,27873,0.00
pandacoin-pnd,20140915,0.000015,0.000018,0.000014,0.000017,711,487656,0.00
