coin,date,open,high,low,close,volume,marketcap,average
bitcoin,20140218,627.16,645.76,612.54,626.60,20015100,7783430000,629.15
bitcoin,20140218,627.16,645.76,612.54,626.60,20015100,7783430000,629.15
ripple,20140218,0.015308,0.015698,0.014986,0.015286,152124,119676000,0.02
litecoin,20140218,15.47,15.94,15.38,15.62,2986580,399311000,15.66
dash,20140218,1.18,1.50,0.841751,1.04,160779,3960320,1.17
dogecoin,20140218,0.001346,0.001426,0.001310,0.001426,2027290,68956500,0.00
digibyte,20140218,0.000499,0.000515,0.000376,0.000441,4900,274737,0.00
reddcoin,20140218,0.000031,0.000095,0.000031,0.000056,90884,337593,0.00
nxt,20140218,0.060395,0.061893,0.059175,0.060775,304776,60395100,0.06
vertcoin,20140218,1.63,1.63,1.41,1.42,189928,3012790,1.52
peercoin,20140218,4.01,4.14,3.98,4.02,290541,84822200,4.06
counterparty,20140218,5.83,7.88,5.21,7.39,86795,15449300,6.54
mooncoin,20140218,0.000056,0.000063,0.000050,0.000051,17625,1510160,0.00
feathercoin,20140218,0.250830,0.262757,0.244408,0.250702,33875,8443650,0.25
namecoin,20140218,3.74,3.84,3.71,3.77,238578,30136200,3.77
potcoin,20140218,0.007934,0.009655,0.006882,0.008020,5296,194678,0.01
diamond,20140218,0.489059,0.500780,0.468664,0.488735,1539,131476,0.48
omni,20140218,74.05,75.27,60.02,70.27,28667,45870200,67.64
earthcoin,20140218,0.000689,0.000705,0.000649,0.000676,24652,918415,0.00
fedoracoin,20140218,0.000007,0.000007,0.000007,0.000007,17564,974620,0.00
florincoin,20140218,0.011984,0.012525,0.009525,0.010926,2908,490132,0.01
noblecoin,20140218,0.000454,0.000516,0.000431,0.000446,6011,269542,0.00
primecoin,20140218,1.98,2.05,1.94,1.96,60827,8849710,1.99
unobtanium,20140218,19.08,20.49,15.53,18.21,178030,2920750,18.01
goldcoin,20140218,0.017455,0.017905,0.016625,0.017283,1811,520124,0.02
sexcoin,20140218,0.007181,0.007798,0.006492,0.006898,3890,435876,0.01
novacoin,20140218,8.84,9.03,8.55,8.75,16592,6251110,8.79
quark,20140218,0.068713,0.069185,0.066076,0.067163,138185,17011500,0.07
ixcoin,20140218,0.093360,0.097370,0.082720,0.084043,3706,1703780,0.09
terracoin,20140218,0.255701,0.261859,0.238381,0.242879,2350,1353230,0.25
huntercoin,20140218,0.797120,0.843968,0.729205,0.733122,9317,514110,0.79
anoncoin,20140218,2.02,2.07,1.76,1.88,13898,1504160,1.92
worldcoin,20140218,0.159640,0.160628,0.130090,0.131382,619177,7205060,0.15
netcoin,20140218,0.008257,0.008569,0.007699,0.007880,38759,1840900,0.01
cryptogenic-bullion,20140218,0.802956,0.833296,0.770908,0.803038,9495,756706,0.80
fastcoin,20140218,0.005653,0.005656,0.005160,0.005438,7666,336903,0.01
megacoin,20140218,0.397474,0.402523,0.374230,0.382121,135105,8830880,0.39
smartcoin,20140218,0.048950,0.062275,0.035542,0.045397,7274,156942,0.05
zetacoin,20140218,0.014068,0.014789,0.013291,0.013892,19075,2252420,0.01
teslacoin,20140218,0.001770,0.002416,0.000873,0.001642,1409,43081,0.00
digitalcoin,20140218,0.174301,0.179046,0.165361,0.167213,35133,2330830,0.17
qubitcoin,20140218,0.001223,0.001436,0.001069,0.001191,3004,208880,0.00
hobonickels,20140218,0.138588,0.146679,0.123175,0.132469,5347,421007,0.13
nyancoin,20140218,0.012997,0.014622,0.012144,0.013723,9084,302425,0.01
i0coin,20140218,0.017560,0.019682,0.017303,0.018171,255,354771,0.02
ultracoin,20140218,0.269183,0.277104,0.235900,0.256161,79464,1157430,0.26
maxcoin,20140218,1.63,1.71,1.45,1.52,1125990,5030710,1.58
deutsche-emark,20140218,0.079313,0.080713,0.067179,0.071813,4366,366812,0.07
42-coin,20140218,119286,127579,111533,116895,14994,178607,119556.00
bitbar,20140218,55.92,61.33,52.27,56.57,7158,549936,56.80
phoenixcoin,20140218,0.007215,0.007324,0.006387,0.007028,873,72217,0.01
redcoin,20140218,0.009571,0.013034,0.009014,0.012082,51046,335644,0.01
joulecoin,20140218,0.013803,0.016295,0.013435,0.014327,587,61824,0.01
tagcoin,20140218,0.739532,0.751687,0.691834,0.711046,15617,655409,0.72
blakecoin,20140218,0.075259,0.094471,0.057046,0.081458,1823,122485,0.08
argentum,20140218,0.185501,0.189410,0.155414,0.177140,2696,154305,0.17
securecoin,20140218,0.648793,0.654592,0.603185,0.609623,14308,809578,0.63
catcoin,20140218,0.255155,0.310573,0.228130,0.274118,3910,280913,0.27
globalcoin,20140218,0.009050,0.013955,0.008584,0.012501,183295,291112,0.01
icoin,20140218,0.027084,0.039658,0.017396,0.019270,2798,205875,0.03
bitgem,20140218,9.28,9.44,7.42,7.68,9139,233003,8.43
cachecoin,20140218,2.51,4.99,2.51,4.98,41059,561098,3.75
philosopher-stones,20140218,0.168643,0.176055,0.153263,0.159256,984,293349,0.16
usde,20140218,0.000456,0.000496,0.000377,0.000401,2362,135426,0.00
ronpaulcoin,20140218,5.25,5.53,4.48,5.15,3268,129865,5.01
