coin,date,open,high,low,close,volume,marketcap,average
bitcoin,20141203,381.72,383.03,374.35,375.01,13340100,5178450000,378.69
bitcoin,20141203,381.72,383.03,374.35,375.01,13340100,5178450000,378.69
ripple,20141203,0.013164,0.013185,0.012918,0.013130,1063000,406531000,0.01
litecoin,20141203,3.63,3.65,3.58,3.61,1715450,124626000,3.62
stellar,20141203,0.002409,0.002480,0.002297,0.002373,23620,8536960,0.00
dash,20141203,2.43,2.44,2.36,2.43,78398,11919100,2.40
monero,20141203,0.528122,0.528122,0.484670,0.507566,26153,2619290,0.51
verge,20141203,0.000004,0.000006,0.000004,0.000005,46,16538,0.00
bytecoin-bcn,20141203,0.000008,0.000009,0.000008,0.000009,6624,1326340,0.00
bitshares,20141203,0.019438,0.019802,0.019103,0.019288,166710,48555100,0.02
dogecoin,20141203,0.000240,0.000241,0.000233,0.000237,395602,23153400,0.00
digibyte,20141203,0.000074,0.000075,0.000066,0.000067,3230,210991,0.00
reddcoin,20141203,0.000039,0.000042,0.000037,0.000041,2679,1059630,0.00
monacoin,20141203,0.045227,0.045912,0.036706,0.039048,4811,661709,0.04
digitalnote,20141203,0.000045,0.000048,0.000044,0.000044,4554,305728,0.00
nxt,20141203,0.020060,0.020404,0.019093,0.019806,79245,20059700,0.02
bitcoindark,20141203,1.98,2.12,1.91,2.10,1473,2367400,2.02
maidsafecoin,20141203,0.032328,0.049054,0.032290,0.045498,65300,14630000,0.04
syscoin,20141203,0.000448,0.000492,0.000448,0.000479,1317,167425,0.00
gamecredits,20141203,0.000115,0.000376,0.000079,0.000113,10,4295,0.00
vertcoin,20141203,0.050073,0.050373,0.044943,0.049332,10317,506351,0.05
blocknet,20141203,0.047064,0.054254,0.045151,0.046782,1378,,0.05
bitbay,20141203,0.000843,0.000876,0.000809,0.000843,10695,843343,0.00
ubiq,20141203,0.004096,0.004405,0.003405,0.003612,14,13567,0.00
nav-coin,20141203,0.001225,0.001423,0.001219,0.001353,176,70614,0.00
emercoin,20141203,0.006970,0.008356,0.006836,0.008249,6,235476,0.01
einsteinium,20141203,0.000254,0.000274,0.000219,0.000245,136,39424,0.00
burst,20141203,0.000491,0.000494,0.000447,0.000466,754,156281,0.00
viacoin,20141203,0.041469,0.042083,0.037610,0.037647,1519,513902,0.04
peercoin,20141203,0.732789,0.737558,0.711548,0.713597,33304,16055700,0.72
counterparty,20141203,5.64,5.77,5.33,5.60,45768,14922700,5.55
hempcoin,20141203,0.000198,0.000226,0.000176,0.000188,40,27137,0.00
mooncoin,20141203,0.000002,0.000002,0.000002,0.000002,1920,381206,0.00
cloakcoin,20141203,0.010565,0.011240,0.009503,0.011234,497,47962,0.01
jinn,20141203,7.88,8.01,6.40,7.11,427,787949,7.21
groestlcoin,20141203,0.000195,0.000218,0.000195,0.000209,4,10369,0.00
gulden,20141203,0.001515,0.001572,0.001386,0.001568,1040,264443,0.00
feathercoin,20141203,0.022948,0.025570,0.022489,0.022526,3308,1433880,0.02
supernet-unity,20141203,4.61,4.74,3.91,4.32,16266,3763560,4.33
iocoin,20141203,0.002871,0.003738,0.002852,0.003303,383,46330,0.00
namecoin,20141203,0.908374,0.913619,0.893390,0.900626,10760,9454450,0.90
eccoin,20141203,0.000002,0.000002,0.000002,0.000002,1,33234,0.00
potcoin,20141203,0.001730,0.001759,0.001604,0.001671,2368,289189,0.00
newyorkcoin,20141203,1.1e-07,1.6e-07,4.1e-08,1.2e-07,17,10713,0.00
bitcny,20141203,0.161776,0.164979,0.159994,0.162970,15504,56814,0.16
solarcoin,20141203,0.006970,0.007050,0.005673,0.005678,1688,233885,0.01
crown,20141203,0.006497,0.010240,0.006385,0.006413,115,15618,0.01
dimecoin,20141203,1.1e-07,1.8e-07,1.1e-07,1.1e-07,438,32606,0.00
diamond,20141203,0.157152,0.175793,0.154885,0.161563,256,112693,0.17
blackcoin,20141203,0.029684,0.030911,0.027798,0.027949,53342,2218140,0.03
myriad,20141203,0.000095,0.000110,0.000079,0.000086,1390,59311,0.00
faircoin,20141203,0.007549,0.007584,0.007493,0.007500,0,385198,0.01
nushares,20141203,0.005769,0.007605,0.004922,0.006995,46728,3488300,0.01
mintcoin,20141203,0.000008,0.000011,0.000004,0.000011,36,155222,0.00
omni,20141203,4.24,4.35,3.29,3.35,1820,2386150,3.82
monetaryunit,20141203,0.000138,0.000346,0.000130,0.000342,33,5805,0.00
whitecoin,20141203,0.000396,0.000398,0.000360,0.000380,657,120366,0.00
neoscoin,20141203,0.012629,0.017850,0.011724,0.017062,2617,37103,0.01
earthcoin,20141203,0.000007,0.000008,0.000007,0.000007,293,40649,0.00
fedoracoin,20141203,3.6e-07,6.1e-07,3.2e-07,3.2e-07,255,101518,0.00
rubycoin,20141203,0.003350,0.003467,0.002893,0.003361,45,73486,0.00
vericoin,20141203,0.016242,0.016589,0.015468,0.015468,662,437240,0.02
pinkcoin,20141203,0.000281,0.000308,0.000263,0.000263,10,102255,0.00
florincoin,20141203,0.000239,0.000361,0.000239,0.000245,59,19607,0.00
clams,20141203,0.197831,0.307737,0.197471,0.307508,60,45932,0.25
stealthcoin,20141203,0.009644,0.011388,0.009281,0.009785,1939,205699,0.01
noblecoin,20141203,0.000047,0.000051,0.000047,0.000047,444,110038,0.00
energycoin,20141203,0.000229,0.000235,0.000191,0.000191,242,25915,0.00
carboncoin,20141203,1.8e-07,1.8e-07,1.8e-07,1.8e-07,0,2617,0.00
