coin,date,open,high,low,close,volume,marketcap,average
bitcoin,20140520,446.31,491.44,446.01,485.72,40327500,5708560000,468.73
bitcoin,20140520,446.31,491.44,446.01,485.72,40327500,5708560000,468.73
ripple,20140520,0.006045,0.006749,0.006036,0.006711,395587,47261100,0.01
litecoin,20140520,10.30,10.79,10.29,10.63,4912980,293762000,10.54
dash,20140520,6.93,7.06,6.13,6.88,1290930,29834300,6.59
dogecoin,20140520,0.000444,0.000473,0.000443,0.000466,736828,34836600,0.00
digibyte,20140520,0.000205,0.000229,0.000195,0.000221,3504,232673,0.00
reddcoin,20140520,0.000027,0.000034,0.000022,0.000029,4260,630457,0.00
monacoin,20140520,0.035918,0.037631,0.030633,0.036440,930,251648,0.03
nxt,20140520,0.036273,0.039431,0.034319,0.039431,184175,36273200,0.04
maidsafecoin,20140520,0.011512,0.012617,0.011413,0.012578,2066,5209740,0.01
vertcoin,20140520,0.965976,1.06,0.955335,1.00,93382,4329890,1.01
einsteinium,20140520,0.000779,0.000838,0.000581,0.000655,1967,74053,0.00
peercoin,20140520,1.99,2.17,1.97,2.14,312183,42664900,2.07
counterparty,20140520,1.69,1.96,1.66,1.95,4354,4479710,1.81
mooncoin,20140520,5.2e-07,8.5e-07,5.1e-07,5.3e-07,582,51331,0.00
groestlcoin,20140520,0.001875,0.002402,0.001724,0.002162,1702,73842,0.00
gulden,20140520,0.000714,0.000815,0.000676,0.000748,688,156989,0.00
feathercoin,20140520,0.071843,0.083987,0.071481,0.082065,24305,3126530,0.08
namecoin,20140520,1.98,2.18,1.97,2.16,223106,17410700,2.08
eccoin,20140520,0.000009,0.000015,0.000009,0.000014,688,150553,0.00
potcoin,20140520,0.002763,0.003035,0.002676,0.002707,4147,293118,0.00
newyorkcoin,20140520,0.000004,0.000005,0.000004,0.000005,0,342238,0.00
solarcoin,20140520,0.005586,0.006608,0.005280,0.005831,413,103260,0.01
diamond,20140520,0.261104,0.283225,0.223322,0.279900,519,96477,0.25
blackcoin,20140520,0.085201,0.094258,0.078855,0.092432,224709,6350730,0.09
myriad,20140520,0.002071,0.002115,0.001816,0.001961,19898,518408,0.00
faircoin,20140520,0.001704,0.002615,0.001666,0.002186,2437,85253,0.00
mintcoin,20140520,0.000036,0.000040,0.000033,0.000039,3798,684819,0.00
omni,20140520,23.13,28.12,23.12,25.41,11604,14331100,25.62
whitecoin,20140520,0.000987,0.001100,0.000950,0.001024,11651,298428,0.00
earthcoin,20140520,0.000022,0.000031,0.000022,0.000024,335,67028,0.00
fedoracoin,20140520,5.3e-07,6.1e-07,4.6e-07,5.5e-07,3397,131864,0.00
rubycoin,20140520,0.002231,0.002721,0.002038,0.002429,1169,39051,0.00
vericoin,20140520,0.004149,0.006632,0.004148,0.005296,11609,111006,0.01
pinkcoin,20140520,0.000125,0.000140,0.000077,0.000097,7091,45471,0.00
florincoin,20140520,0.000631,0.000703,0.000630,0.000670,143,29628,0.00
noblecoin,20140520,0.000148,0.000190,0.000127,0.000157,7584,181629,0.00
energycoin,20140520,0.000128,0.000212,0.000115,0.000156,259,14173,0.00
zeitcoin,20140520,0.000009,0.000015,0.000005,0.000014,829,244307,0.00
