coin,date,open,high,low,close,volume,marketcap,average
bitcoin,20170911,4122.47,4261.67,4099.40,4161.27,1557330000,68256000000,4180.53
ethereum,20170911,289.75,300.69,286.69,294.53,571307000,27394400000,293.69
ripple,20170911,0.212513,0.220057,0.210353,0.214441,138339000,8148560000,0.22
bitcoin-cash,20170911,537.19,556.25,515.67,537.81,274712000,8902570000,535.96
nem,20170911,0.256016,0.269572,0.250612,0.252026,3639410,2304150000,0.26
litecoin,20170911,61.65,67.23,61.37,66.04,412076000,3259510000,64.30
stellar,20170911,0.016276,0.017649,0.015954,0.016993,3903590,269966000,0.02
iota,20170911,0.498380,0.558273,0.481498,0.558273,23660500,1385260000,0.52
dash,20170911,322.02,332.12,315.91,318.40,25159900,2431230000,324.01
neo,20170911,22.68,23.97,21.70,21.88,27835300,1133790000,22.84
monero,20170911,113.05,116.24,110.47,112.75,30605900,1702970000,113.35
eos,20170911,0.739553,0.752968,0.715178,0.730869,7763470,250148000,0.73
qtum,20170911,12.64,14.79,12.55,14.28,165283000,745787000,13.67
lisk,20170911,6.56,6.92,6.53,6.70,14443300,735418000,6.72
raiblocks,20170911,0.110805,0.112652,0.095309,0.104886,113319,12291800,0.10
ethereum-classic,20170911,13.62,14.83,13.53,14.61,142588000,1299470000,14.18
verge,20170911,0.007948,0.008172,0.007356,0.007578,6125920,106575000,0.01
siacoin,20170911,0.005683,0.005955,0.005397,0.005858,2993330,166471000,0.01
omisego,20170911,11.42,11.98,11.09,11.33,37733800,1122960000,11.54
bytecoin-bcn,20170911,0.001563,0.001797,0.001522,0.001767,3027920,286422000,0.00
bitconnect,20170911,121.88,128.20,120.76,125.70,7083720,812292000,124.48
populous,20170911,3.51,13.06,3.01,3.29,374879,144795000,8.04
zcash,20170911,212.19,216.16,205.60,208.77,22339400,457445000,210.88
stratis,20170911,5.86,6.09,5.52,5.60,5037870,577080000,5.80
bitshares,20170911,0.101733,0.116310,0.099876,0.113170,35752100,264408000,0.11
binance-coin,20170911,0.949186,1.10,0.902000,1.03,5167180,94918600,1.00
dogecoin,20170911,0.001397,0.001505,0.001387,0.001463,6644960,155068000,0.00
ardor,20170911,0.127306,0.135041,0.124553,0.132628,1464060,127179000,0.13
