coin,date,open,high,low,close,volume,marketcap,average
bitcoin,20140612,633.43,638.11,573.27,586.95,50818800,8160590000,605.69
bitcoin,20140612,633.43,638.11,573.27,586.95,50818800,8160590000,605.69
ripple,20140612,0.004405,0.004421,0.003948,0.004048,264548,34436500,0.00
litecoin,20140612,10.93,10.97,9.98,10.17,4748730,319206000,10.48
dash,20140612,10.38,11.35,10.02,10.18,895885,45377400,10.68
monero,20140612,1.62,2.17,1.53,1.74,108619,2174900,1.85
dogecoin,20140612,0.000419,0.000424,0.000375,0.000382,876563,34401500,0.00
digibyte,20140612,0.000269,0.000280,0.000242,0.000257,1124,320848,0.00
reddcoin,20140612,0.000035,0.000041,0.000028,0.000039,27046,895196,0.00
nxt,20140612,0.080473,0.080671,0.065860,0.067578,66710,80472900,0.07
maidsafecoin,20140612,0.017275,0.018412,0.016089,0.016797,4885,7817890,0.02
vertcoin,20140612,0.855295,0.894929,0.752862,0.769371,58920,4395660,0.82
nav-coin,20140612,0.004229,0.005396,0.003175,0.003252,56270,201701,0.00
einsteinium,20140612,0.000552,0.000639,0.000506,0.000579,2091,60704,0.00
peercoin,20140612,1.78,1.80,1.64,1.64,113043,38192400,1.72
counterparty,20140612,2.86,2.90,2.45,2.64,3123,7586280,2.67
mooncoin,20140612,4.4e-07,6.5e-07,4.3e-07,5.1e-07,306,50831,0.00
cloakcoin,20140612,0.168637,0.184341,0.088436,0.122750,186851,760663,0.14
groestlcoin,20140612,0.002181,0.002246,0.001761,0.001926,1489,102546,0.00
gulden,20140612,0.000791,0.000928,0.000596,0.000658,1046,184434,0.00
feathercoin,20140612,0.044254,0.049197,0.040145,0.040982,13003,2030700,0.04
namecoin,20140612,1.93,1.95,1.76,1.85,128081,17366400,1.85
eccoin,20140612,0.000003,0.000005,0.000003,0.000003,74,56265,0.00
potcoin,20140612,0.007230,0.008756,0.006640,0.008189,20143,877469,0.01
newyorkcoin,20140612,0.000006,0.000006,0.000006,0.000006,0,537572,0.00
solarcoin,20140612,0.005792,0.006757,0.005402,0.006299,335,113988,0.01
dimecoin,20140612,4.4e-07,5.4e-07,3e-07,4e-07,715,88485,0.00
diamond,20140612,0.215866,0.239546,0.196437,0.200245,228,79762,0.22
blackcoin,20140612,0.156791,0.160466,0.140238,0.141984,132938,11687900,0.15
myriad,20140612,0.001825,0.001833,0.001521,0.001648,7570,581064,0.00
faircoin,20140612,0.001095,0.001158,0.001043,0.001074,66,54777,0.00
mintcoin,20140612,0.000036,0.000041,0.000030,0.000034,2902,696994,0.00
omni,20140612,20.24,24.79,20.16,20.98,9803,12535400,22.48
whitecoin,20140612,0.001004,0.001041,0.000681,0.000797,7198,303853,0.00
earthcoin,20140612,0.000019,0.000031,0.000013,0.000018,423,63789,0.00
fedoracoin,20140612,5.8e-07,7.2e-07,5.1e-07,5.1e-07,506,153099,0.00
rubycoin,20140612,0.002773,0.005422,0.002586,0.003915,24353,53139,0.00
vericoin,20140612,0.100803,0.101543,0.079690,0.081649,197270,2698080,0.09
pinkcoin,20140612,0.000509,0.000553,0.000339,0.000436,12010,185437,0.00
florincoin,20140612,0.000712,0.000713,0.000630,0.000642,99,37343,0.00
noblecoin,20140612,0.000149,0.000149,0.000112,0.000113,1650,205748,0.00
energycoin,20140612,0.000392,0.000414,0.000239,0.000272,1065,43448,0.00
zeitcoin,20140612,0.000003,0.000004,0.000003,0.000003,121,75403,0.00
pandacoin-pnd,20140612,0.000016,0.000016,0.000013,0.000014,1889,504223,0.00
bitsend,20140612,0.001272,0.006937,0.001268,0.003081,38,1749,0.00
artbyte,20140612,0.000197,0.000460,0.000190,0.000295,414,54097,0.00
curecoin,20140612,0.131616,0.180589,0.119585,0.161548,298,187235,0.15
primecoin,20140612,0.495922,0.497713,0.434328,0.434328,20027,2966370,0.47
dopecoin,20140612,0.000380,0.000533,0.000349,0.000370,585,21439,0.00
unobtanium,20140612,2.08,2.68,2.08,2.46,5104,388817,2.38
pesetacoin,20140612,0.006710,0.021309,0.005312,0.007673,7232,247570,0.01
goldcoin,20140612,0.013631,0.013791,0.012197,0.012722,788,427574,0.01
bitcoin-plus,20140612,2.48,2.50,1.83,2.12,1391,137400,2.17
belacoin,20140612,0.000101,0.000805,0.000100,0.000714,1,480,0.00
sexcoin,20140612,0.002501,0.002505,0.002057,0.002127,730,181507,0.00
dnotes,20140612,0.001417,0.001530,0.001179,0.001195,1169,124059,0.00
auroracoin,20140612,0.207663,0.222872,0.169090,0.172643,1870,2264350,0.20
asiacoin,20140612,0.002491,0.003392,0.001495,0.001803,19347,439098,0.00
riecoin,20140612,0.043400,0.066342,0.038731,0.043845,9504,152020,0.05
novacoin,20140612,1.84,1.93,1.66,1.90,13700,1521790,1.79
quark,20140612,0.017216,0.017881,0.015910,0.016110,9318,4268330,0.02
ixcoin,20140612,0.052744,0.053525,0.045629,0.047121,1628,1053750,0.05
terracoin,20140612,0.043440,0.050591,0.034632,0.036275,1521,287317,0.04
huntercoin,20140612,0.082346,0.082752,0.050782,0.052884,342,189104,0.07
anoncoin,20140612,0.684590,0.731060,0.623740,0.637138,4454,695834,0.68
worldcoin,20140612,0.020172,0.020859,0.018008,0.018080,7778,1165120,0.02
mazacoin,20140612,0.000244,0.000261,0.000206,0.000208,1661,104508,0.00
bluecoin,20140612,0.000070,0.000089,0.000060,0.000062,523,21934,0.00
e-gulden,20140612,0.006683,0.008045,0.004807,0.004949,74,86657,0.01
netcoin,20140612,0.001055,0.001090,0.000954,0.000957,416,286552,0.00
fluttercoin,20140612,0.002346,0.002456,0.002087,0.002269,8915,446446,0.00
canada-ecoin,20140612,0.000139,0.000291,0.000078,0.000155,155,1474,0.00
cryptogenic-bullion,20140612,0.320831,0.345396,0.236637,0.241341,434,305299,0.29
fastcoin,20140612,0.001292,0.001316,0.001167,0.001186,430,107947,0.00
megacoin,20140612,0.082603,0.087508,0.076328,0.076724,12222,1970550,0.08
unbreakablecoin,20140612,0.013920,0.014666,0.012044,0.012850,746,20124,0.01
smartcoin,20140612,0.001121,0.001251,0.001003,0.001027,69,16696,0.00
petrodollar,20140612,0.000513,0.000935,0.000511,0.000915,0,19135,0.00
fuelcoin,20140612,0.000178,0.000264,0.000155,0.000159,19956,732019,0.00
zetacoin,20140612,0.020968,0.021730,0.017882,0.018621,7963,3366160,0.02
teslacoin,20140612,0.000602,0.000681,0.000184,0.000499,1294,34611,0.00
digitalcoin,20140612,0.017405,0.018306,0.015698,0.015959,1955,272845,0.02
qubitcoin,20140612,0.000150,0.000192,0.000150,0.000185,131,35726,0.00
fantomcoin,20140612,0.138821,0.139889,0.120326,0.121659,452,31962,0.13
hobonickels,20140612,0.095147,0.095831,0.085100,0.088765,842,456313,0.09
nyancoin,20140612,0.000165,0.000254,0.000086,0.000153,241,12646,0.00
ultracoin,20140612,0.013687,0.014609,0.011477,0.012535,959,216678,0.01
maxcoin,20140612,0.063562,0.066360,0.055485,0.055485,14204,1400800,0.06
bitcoin-scrypt,20140612,0.010223,0.012720,0.009751,0.010052,301,57858,0.01
deutsche-emark,20140612,0.005099,0.005125,0.004408,0.004561,90,44195,0.00
corgicoin,20140612,1.1e-07,1.1e-07,1e-07,1e-07,12,7154,0.00
octocoin,20140612,0.003513,0.004322,0.003327,0.003471,576,80141,0.00
42-coin,20140612,6951.74,6951.74,5790.05,5928.22,496,50062,6370.90
aricoin,20140612,0.000285,0.000348,0.000258,0.000258,185,21793,0.00
bitbar,20140612,10.77,11.65,8.73,9.76,332,126344,10.19
bitstar,20140612,0.000582,0.000942,0.000579,0.000872,120,8883,0.00
phoenixcoin,20140612,0.001616,0.001636,0.001474,0.001515,103,24642,0.00
orbitcoin,20140612,0.025337,0.026801,0.021217,0.021723,26,35949,0.02
