coin,date,open,high,low,close,volume,marketcap,average
bitcoin,20140901,477.79,485.31,471.91,474.88,20432000,6313120000,478.61
bitcoin,20140901,477.79,485.31,471.91,474.88,20432000,6313120000,478.61
ripple,20140901,0.004886,0.005047,0.004885,0.005025,267095,141641000,0.00
litecoin,20140901,4.86,4.96,4.71,4.71,2185090,153547000,4.83
stellar,20140901,0.002061,0.002098,0.001999,0.002010,27975,2149450,0.00
dash,20140901,2.40,2.42,2.27,2.27,73377,11072200,2.34
monero,20140901,2.17,2.28,1.97,2.04,268279,6827450,2.12
bytecoin-bcn,20140901,0.000016,0.000020,0.000016,0.000017,1135,2607540,0.00
bitshares,20140901,0.030233,0.031153,0.026929,0.028243,872095,60465800,0.03
dogecoin,20140901,0.000131,0.000133,0.000127,0.000131,132860,11934900,0.00
digibyte,20140901,0.000166,0.000173,0.000157,0.000157,797,206674,0.00
reddcoin,20140901,0.000067,0.000072,0.000066,0.000070,10510,1810370,0.00
monacoin,20140901,0.222426,0.233303,0.185254,0.186612,14723,2568430,0.21
digitalnote,20140901,0.000120,0.000147,0.000108,0.000137,13380,716410,0.00
nxt,20140901,0.026603,0.027819,0.025698,0.027111,38029,26602700,0.03
bitcoindark,20140901,5.03,5.22,4.67,4.94,69356,5950790,4.95
maidsafecoin,20140901,0.018140,0.019047,0.017732,0.018204,3484,8209210,0.02
syscoin,20140901,0.001586,0.001710,0.001544,0.001555,3432,582059,0.00
gamecredits,20140901,0.000014,0.000024,0.000014,0.000024,1,352,0.00
vertcoin,20140901,0.108014,0.114369,0.105059,0.112530,13675,804834,0.11
nav-coin,20140901,0.001486,0.001748,0.001463,0.001547,551,84866,0.00
emercoin,20140901,0.001672,0.002883,0.001338,0.002840,133,55270,0.00
einsteinium,20140901,0.000124,0.000191,0.000108,0.000116,224,16673,0.00
burst,20140901,0.001839,0.003473,0.001839,0.003324,12459,,0.00
viacoin,20140901,0.119460,0.129024,0.118394,0.122843,6666,1293110,0.12
peercoin,20140901,0.785736,0.818427,0.764062,0.778685,39954,17034700,0.79
counterparty,20140901,2.02,2.03,1.87,2.00,17433,5344210,1.95
hempcoin,20140901,0.000354,0.000357,0.000166,0.000166,75,41026,0.00
mooncoin,20140901,1.9e-07,2.5e-07,1.9e-07,1.9e-07,70,33549,0.00
cloakcoin,20140901,0.141648,0.146967,0.131080,0.132358,21228,641188,0.14
groestlcoin,20140901,0.000549,0.000558,0.000526,0.000527,29,27730,0.00
gulden,20140901,0.002278,0.002834,0.002191,0.002782,5881,249877,0.00
feathercoin,20140901,0.023728,0.024062,0.019635,0.020852,5212,1277750,0.02
iocoin,20140901,0.024604,0.029269,0.024238,0.028636,7072,394085,0.03
namecoin,20140901,1.07,1.11,0.993746,1.01,105290,10374000,1.05
eccoin,20140901,0.000002,0.000002,0.000002,0.000002,10,28729,0.00
potcoin,20140901,0.004188,0.004356,0.003999,0.004017,3708,611572,0.00
newyorkcoin,20140901,9.7e-08,1.6e-07,9.7e-08,1e-07,2,9452,0.00
solarcoin,20140901,0.002299,0.002793,0.002221,0.002389,163,67838,0.00
dimecoin,20140901,4.8e-08,9.9e-08,4.7e-08,4.7e-08,22,12610,0.00
diamond,20140901,0.056379,0.064052,0.056352,0.056587,99,32020,0.06
blackcoin,20140901,0.041912,0.042646,0.041020,0.041826,15300,3129200,0.04
myriad,20140901,0.000248,0.000251,0.000236,0.000245,761,130950,0.00
faircoin,20140901,0.001099,0.001802,0.001098,0.001771,524,54966,0.00
mintcoin,20140901,0.000012,0.000014,0.000011,0.000013,192,234583,0.00
omni,20140901,4.25,4.61,4.20,4.48,1073,2394670,4.41
whitecoin,20140901,0.000231,0.000314,0.000219,0.000253,2704,70064,0.00
neoscoin,20140901,0.128095,0.163408,0.120503,0.146272,13245,151703,0.14
earthcoin,20140901,0.000014,0.000018,0.000014,0.000017,3,60634,0.00
fedoracoin,20140901,2.3e-07,2.4e-07,1.9e-07,2.3e-07,1686,63274,0.00
rubycoin,20140901,0.004539,0.005029,0.004199,0.004264,184,100103,0.00
vericoin,20140901,0.042780,0.044124,0.041804,0.042465,6067,1148010,0.04
pinkcoin,20140901,0.000384,0.000387,0.000288,0.000362,1818,139750,0.00
florincoin,20140901,0.000175,0.000204,0.000175,0.000177,27,11761,0.00
clams,20140901,0.538944,0.547425,0.406561,0.537558,38,46699,0.48
stealthcoin,20140901,0.008648,0.008748,0.004321,0.005456,3289,180923,0.01
noblecoin,20140901,0.000037,0.000038,0.000031,0.000032,223,63740,0.00
energycoin,20140901,0.000192,0.000233,0.000134,0.000149,240,21469,0.00
carboncoin,20140901,0.000010,0.000010,0.000001,0.000001,11,130847,0.00
zeitcoin,20140901,0.000001,0.000001,0.000001,0.000001,24,27683,0.00
pandacoin-pnd,20140901,0.000011,0.000014,0.000008,0.000013,978,345897,0.00
artbyte,20140901,0.000110,0.000185,0.000096,0.000185,419,7902,0.00
curecoin,20140901,0.042531,0.042950,0.034431,0.034431,214,66690,0.04
bitmark,20140901,0.083235,0.087815,0.081236,0.084942,1364,53758,0.08
primecoin,20140901,0.177396,0.182304,0.168401,0.173229,3036,1235400,0.18
boolberry,20140901,0.397420,0.455690,0.299651,0.339196,39729,508027,0.38
dopecoin,20140901,0.000043,0.000092,0.000038,0.000052,467,3787,0.00
unobtanium,20140901,1.80,1.87,1.74,1.86,315,342561,1.81
cannabiscoin,20140901,0.010730,0.022084,0.009606,0.013560,37926,849101,0.02
pesetacoin,20140901,0.000406,0.000443,0.000346,0.000356,164,22805,0.00
hyperstake,20140901,0.005478,0.006104,0.004499,0.004841,459,81210,0.01
goldcoin,20140901,0.008671,0.009675,0.007379,0.009484,814,279736,0.01
bitcoin-plus,20140901,0.180712,0.185566,0.143510,0.164852,12,10002,0.16
startcoin,20140901,0.006921,0.009873,0.005638,0.007665,1166,11502,0.01
belacoin,20140901,0.000062,0.000079,0.000061,0.000073,13,378,0.00
sexcoin,20140901,0.000533,0.000582,0.000530,0.000537,51,42038,0.00
dnotes,20140901,0.004620,0.004819,0.004510,0.004608,801,418134,0.00
auroracoin,20140901,0.072270,0.079630,0.063384,0.074574,9526,127381,0.07
asiacoin,20140901,0.000318,0.000322,0.000263,0.000263,94,61020,0.00
riecoin,20140901,0.007733,0.008175,0.007333,0.008035,622,44848,0.01
korecoin,20140901,0.036369,0.038164,0.028767,0.037553,116,48250,0.03
novacoin,20140901,0.798705,0.813403,0.791441,0.795264,3320,644452,0.80
quark,20140901,0.006809,0.006939,0.006314,0.006575,1864,1689760,0.01
greencoin,20140901,0.000048,0.000081,0.000047,0.000081,365,11253,0.00
ixcoin,20140901,0.024019,0.025799,0.022622,0.023604,1351,496730,0.02
trustplus,20140901,0.000449,0.000456,0.000293,0.000331,7,13853,0.00
terracoin,20140901,0.026791,0.026976,0.023156,0.023234,678,177197,0.03
huntercoin,20140901,0.013503,0.014987,0.013411,0.013488,121,46351,0.01
anoncoin,20140901,0.394316,0.436791,0.328071,0.350032,4229,477347,0.38
worldcoin,20140901,0.008253,0.008304,0.007699,0.007699,1905,523987,0.01
mazacoin,20140901,0.000086,0.000096,0.000085,0.000088,80,46338,0.00
bluecoin,20140901,0.000202,0.000206,0.000168,0.000182,235,107552,0.00
cryptonite,20140901,0.004533,0.004680,0.003690,0.004324,1459,26828,0.00
e-gulden,20140901,0.004035,0.004613,0.003954,0.004112,98,15826,0.00
netcoin,20140901,0.000357,0.000369,0.000342,0.000342,261,104451,0.00
fluttercoin,20140901,0.000341,0.000373,0.000221,0.000320,860,69189,0.00
canada-ecoin,20140901,0.000012,0.000014,0.000011,0.000014,1,124,0.00
cryptogenic-bullion,20140901,0.076039,0.076902,0.070767,0.072505,39,72531,0.07
fastcoin,20140901,0.000519,0.000697,0.000457,0.000657,2264,47431,0.00
megacoin,20140901,0.028896,0.028926,0.026748,0.027488,3634,723230,0.03
unbreakablecoin,20140901,0.004353,0.006187,0.004351,0.005936,251,6546,0.01
smartcoin,20140901,0.000377,0.000409,0.000373,0.000375,1,5946,0.00
petrodollar,20140901,0.001008,0.001018,0.000948,0.000950,1,61593,0.00
fuelcoin,20140901,0.001935,0.001969,0.001911,0.001928,49,,0.00
zetacoin,20140901,0.010423,0.010911,0.009614,0.009694,2706,1676590,0.01
teslacoin,20140901,0.000434,0.000449,0.000410,0.000413,26,26309,0.00
piggycoin,20140901,0.000019,0.000029,0.000019,0.000028,15,9051,0.00
digitalcoin,20140901,0.006786,0.007944,0.006784,0.007303,1066,114090,0.01
