coin,date,open,high,low,close,volume,marketcap,average
bitcoin,20160228,432.57,435.68,423.82,433.50,53033400,6600310000,429.75
ethereum,20160228,6.41,6.62,6.24,6.47,9851660,495545000,6.43
bitcoin,20160228,432.57,435.68,423.82,433.50,53033400,6600310000,429.75
ethereum,20160228,6.41,6.62,6.24,6.47,9851660,495545000,6.43
ripple,20160228,0.007977,0.007987,0.007854,0.007889,570935,271941000,0.01
nem,20160228,0.000643,0.000672,0.000618,0.000654,12969,5789230,0.00
litecoin,20160228,3.41,3.47,3.36,3.44,986849,152561000,3.42
stellar,20160228,0.002003,0.002022,0.001923,0.001981,33416,9688940,0.00
dash,20160228,4.08,4.09,3.94,4.00,150601,25488700,4.01
monero,20160228,0.828838,0.888928,0.803117,0.870485,145400,9239080,0.85
verge,20160228,0.000048,0.000056,0.000043,0.000052,8798,458031,0.00
siacoin,20160228,0.000078,0.000083,0.000070,0.000074,19051,851334,0.00
bytecoin-bcn,20160228,0.000032,0.000035,0.000032,0.000033,6520,5805190,0.00
bitshares,20160228,0.004046,0.004172,0.003904,0.004133,143610,10293300,0.00
dogecoin,20160228,0.000256,0.000258,0.000244,0.000254,251988,26391300,0.00
tether,20160228,1.00,1.00,1.00,1.00,114084,1451600,1.00
digibyte,20160228,0.000216,0.000221,0.000205,0.000208,13028,1298100,0.00
augur,20160228,4.39,4.43,4.31,4.41,9,,4.37
decred,20160228,2.17,2.31,2.07,2.24,29047,2121660,2.19
nexus,20160228,0.001929,0.002076,0.001772,0.001778,129,65380,0.00
reddcoin,20160228,0.000026,0.000030,0.000026,0.000026,2498,729968,0.00
pivx,20160228,0.002224,0.003328,0.002222,0.002353,2337,21459,0.00
factom,20160228,1.01,1.05,0.990128,1.05,169115,8800160,1.02
monacoin,20160228,0.061766,0.063091,0.060880,0.061008,2541,1824030,0.06
digitalnote,20160228,0.000082,0.000092,0.000081,0.000087,4713,564551,0.00
nxt,20160228,0.007531,0.007768,0.007065,0.007470,31821,7531260,0.01
bitcoindark,20160228,0.791403,0.860755,0.774934,0.815204,404,992977,0.82
maidsafecoin,20160228,0.085486,0.110795,0.081644,0.087628,4523880,38686800,0.10
syscoin,20160228,0.003593,0.004825,0.003192,0.004669,221624,1540600,0.00
paccoin,20160228,1.2e-08,1.3e-08,1.1e-08,1.3e-08,13,,0.00
gamecredits,20160228,0.016584,0.016815,0.014435,0.015167,5853,1623080,0.02
vertcoin,20160228,0.041523,0.041952,0.037614,0.040481,12314,958219,0.04
blocknet,20160228,0.054536,0.054549,0.036207,0.049251,892,213262,0.05
bitbay,20160228,0.000205,0.000212,0.000191,0.000198,126,205692,0.00
ubiq,20160228,0.029195,0.030681,0.028816,0.029477,708,103083,0.03
nav-coin,20160228,0.002176,0.002228,0.002124,0.002220,423,129689,0.00
emercoin,20160228,0.215857,0.219642,0.200306,0.216247,7467,8028510,0.21
einsteinium,20160228,0.000147,0.000181,0.000133,0.000157,129,25833,0.00
burst,20160228,0.000133,0.000147,0.000128,0.000135,944,148269,0.00
viacoin,20160228,0.005939,0.006046,0.005503,0.005707,87,119993,0.01
peercoin,20160228,0.472162,0.480777,0.458948,0.479094,63272,10867900,0.47
counterparty,20160228,0.611480,0.644956,0.582451,0.628799,1241,1607080,0.61
hempcoin,20160228,0.000121,0.000195,0.000112,0.000195,143,20292,0.00
mooncoin,20160228,5.1e-07,5.5e-07,4.7e-07,4.8e-07,13,107909,0.00
agoras-tokens,20160228,0.173028,0.174273,0.169528,0.173393,56,7267180,0.17
cloakcoin,20160228,0.157813,0.157851,0.119346,0.139387,211,744108,0.14
aeon,20160228,0.013401,0.017181,0.013138,0.013900,2290,141234,0.02
shift,20160228,0.004424,0.005956,0.004335,0.004448,56,,0.01
jinn,20160228,2.01,2.06,1.89,1.90,210,118043,1.98
groestlcoin,20160228,0.001570,0.001581,0.001358,0.001572,39,98178,0.00
gulden,20160228,0.001791,0.001953,0.001695,0.001700,4575,534687,0.00
pura,20160228,0.000009,0.000013,0.000009,0.000009,1,1437,0.00
feathercoin,20160228,0.005590,0.005865,0.005492,0.005713,875,632471,0.01
salus,20160228,0.089525,0.130422,0.087714,0.130012,4281,89549,0.11
supernet-unity,20160228,0.778611,0.862448,0.741810,0.859003,119,635394,0.80
iocoin,20160228,0.017009,0.017322,0.016192,0.016530,19,276108,0.02
synereo,20160228,0.019154,0.019156,0.009464,0.017872,603,3539700,0.01
namecoin,20160228,0.428150,0.428237,0.416768,0.424252,18035,5876470,0.42
eccoin,20160228,0.000004,0.000004,0.000004,0.000004,2,84077,0.00
potcoin,20160228,0.000739,0.000863,0.000717,0.000854,289,157015,0.00
newyorkcoin,20160228,1e-07,1.5e-07,1e-07,1e-07,8,6092,0.00
bitcny,20160228,0.156732,0.156770,0.151369,0.153683,2,77569,0.15
solarcoin,20160228,0.019253,0.020604,0.019013,0.019480,1140,659542,0.02
crown,20160228,0.002140,0.002234,0.001373,0.001376,17,15794,0.00
sibcoin,20160228,0.016815,0.022393,0.016248,0.022382,19576,152483,0.02
dimecoin,20160228,6.8e-08,6.9e-08,6.7e-08,6.9e-08,2,32002,0.00
diamond,20160228,0.357451,0.359998,0.313904,0.347800,626,549828,0.34
blackcoin,20160228,0.029403,0.029986,0.028379,0.029696,16208,2213790,0.03
gridcoin,20160228,0.005866,0.006313,0.005557,0.006075,709,2190930,0.01
myriad,20160228,0.000061,0.000077,0.000060,0.000065,924,67296,0.00
