coin,date,open,high,low,close,volume,marketcap,average
bitcoin,20140420,501.75,510.87,490.84,498.17,12103100,6356070000,500.86
bitcoin,20140420,501.75,510.87,490.84,498.17,12103100,6356070000,500.86
ripple,20140420,0.006475,0.006555,0.006159,0.006214,162830,50618300,0.01
litecoin,20140420,12.86,13.12,12.43,12.62,6195390,354908000,12.77
dash,20140420,0.747391,0.754119,0.689135,0.722926,30229,3050050,0.72
dogecoin,20140420,0.000646,0.000664,0.000626,0.000629,1089990,46571800,0.00
digibyte,20140420,0.000188,0.000217,0.000185,0.000210,4166,189605,0.00
reddcoin,20140420,0.000015,0.000020,0.000010,0.000015,4620,299544,0.00
monacoin,20140420,0.060215,0.065775,0.060192,0.063272,1280,335160,0.06
nxt,20140420,0.025544,0.027338,0.024134,0.025750,43745,25543600,0.03
vertcoin,20140420,1.04,1.04,0.986054,0.992592,32466,3742090,1.01
einsteinium,20140420,0.003598,0.004370,0.003258,0.003510,39512,264879,0.00
peercoin,20140420,2.72,2.78,2.53,2.64,200019,57931700,2.65
counterparty,20140420,1.96,2.01,1.67,1.68,10182,5198380,1.84
mooncoin,20140420,0.000002,0.000002,0.000002,0.000002,1772,147617,0.00
groestlcoin,20140420,0.003117,0.003216,0.002369,0.002568,2776,61248,0.00
gulden,20140420,0.000552,0.000805,0.000495,0.000747,250,111712,0.00
feathercoin,20140420,0.115510,0.121499,0.108256,0.109915,10164,4654790,0.11
namecoin,20140420,2.69,2.77,2.53,2.60,299924,22973000,2.65
eccoin,20140420,0.000035,0.000036,0.000025,0.000030,33552,569200,0.00
potcoin,20140420,0.015546,0.015546,0.008594,0.010179,82758,1237430,0.01
solarcoin,20140420,0.005081,0.006724,0.002532,0.004983,544,75015,0.00
diamond,20140420,0.145322,0.183963,0.142785,0.183251,1713,51739,0.16
blackcoin,20140420,0.228704,0.269616,0.220121,0.238247,1919940,17040800,0.24
myriad,20140420,0.002543,0.002745,0.002337,0.002427,15956,408526,0.00
faircoin,20140420,0.013544,0.020572,0.011096,0.014588,89502,677409,0.02
mintcoin,20140420,0.000070,0.000072,0.000065,0.000067,10770,1327400,0.00
omni,20140420,75.18,76.90,52.12,68.92,97133,46575300,64.51
whitecoin,20140420,0.008961,0.009279,0.007321,0.007388,735106,1506870,0.01
earthcoin,20140420,0.000045,0.000050,0.000039,0.000050,2192,110888,0.00
