coin,date,open,high,low,close,volume,marketcap,average
bitcoin,20171016,5687.57,5776.23,5544.21,5725.59,2008070000,94559000000,5660.22
ethereum,20171016,336.71,349.35,332.04,333.38,692885000,32029200000,340.70
ripple,20171016,0.263386,0.291359,0.249010,0.256232,963158000,10148700000,0.27
bitcoin-cash,20171016,315.26,318.02,310.52,313.64,117797000,5265400000,314.27
cardano,20171016,0.029939,0.030749,0.028577,0.028948,6196030,776227000,0.03
nem,20171016,0.206955,0.251225,0.205047,0.223181,14101500,1862590000,0.23
litecoin,20171016,65.72,66.34,62.69,64.62,200428000,3508860000,64.52
stellar,20171016,0.018929,0.049123,0.018683,0.036865,291627000,313995000,0.03
iota,20171016,0.439699,0.459618,0.423750,0.450655,8128940,1222160000,0.44
tron,20171016,0.002286,0.002337,0.002008,0.002156,152645,149526000,0.00
dash,20171016,309.46,310.98,300.75,302.21,38139700,2359250000,305.87
neo,20171016,27.76,29.07,26.96,28.53,34713200,1388080000,28.02
monero,20171016,94.99,97.97,93.05,95.90,32185000,1446090000,95.51
eos,20171016,0.571853,0.581349,0.561856,0.561856,6005900,232974000,0.57
qtum,20171016,10.46,11.65,10.23,11.49,37568400,616895000,10.94
lisk,20171016,4.91,5.14,4.66,4.96,8730360,558002000,4.90
raiblocks,20171016,0.139800,0.172636,0.115491,0.147116,494322,17492600,0.14
ethereum-classic,20171016,11.95,12.10,11.83,11.89,28608500,1153060000,11.96
verge,20171016,0.005463,0.005470,0.004879,0.005153,1973510,77114000,0.01
siacoin,20171016,0.004128,0.004840,0.003926,0.004302,4150350,124383000,0.00
omisego,20171016,8.00,8.10,7.60,7.85,19951300,786681000,7.85
bytecoin-bcn,20171016,0.001410,0.001452,0.001392,0.001452,1538460,258387000,0.00
bitconnect,20171016,193.05,200.68,190.66,199.63,14092700,1385880000,195.67
populous,20171016,3.36,4.10,3.13,3.26,320896,138715000,3.61
zcash,20171016,231.96,235.96,230.45,233.01,22198300,558212000,233.20
stratis,20171016,3.01,3.09,2.80,2.98,6688310,296889000,2.94
bitshares,20171016,0.050543,0.069259,0.049460,0.056209,14228700,131441000,0.06
