coin,date,open,high,low,close,volume,marketcap,average
bitcoin,20150426,226.41,226.94,214.87,219.43,28943700,3190790000,220.91
bitcoin,20150426,226.41,226.94,214.87,219.43,28943700,3190790000,220.91
ripple,20150426,0.008290,0.008297,0.007684,0.007740,493776,264537000,0.01
nem,20150426,0.000140,0.000141,0.000127,0.000134,2074,1263860,0.00
litecoin,20150426,1.40,1.40,1.30,1.32,1292150,53853500,1.35
stellar,20150426,0.002656,0.002670,0.002594,0.002640,8844,12799500,0.00
dash,20150426,3.10,3.10,2.93,3.05,95532,16447900,3.02
monero,20150426,0.563681,0.567488,0.531613,0.556385,19954,4150550,0.55
verge,20150426,0.000018,0.000018,0.000013,0.000013,585,142928,0.00
bytecoin-bcn,20150426,0.000024,0.000024,0.000022,0.000024,5836,4102680,0.00
bitshares,20150426,0.004443,0.004446,0.004116,0.004224,31778,11130000,0.00
dogecoin,20150426,0.000103,0.000104,0.000098,0.000100,67739,10206300,0.00
tether,20150426,1.00,1.00,1.00,1.00,555,251600,1.00
digibyte,20150426,0.000118,0.000126,0.000115,0.000119,2188,476473,0.00
reddcoin,20150426,0.000014,0.000015,0.000013,0.000015,701,376289,0.00
monacoin,20150426,0.092451,0.095827,0.088750,0.090676,6426,1757190,0.09
digitalnote,20150426,0.000063,0.000067,0.000053,0.000059,4824,432688,0.00
nxt,20150426,0.009686,0.009702,0.008746,0.008896,28195,9686130,0.01
bitcoindark,20150426,0.903240,0.905615,0.818351,0.861613,2358,1096940,0.86
maidsafecoin,20150426,0.022481,0.022676,0.020552,0.020997,7087,10174000,0.02
syscoin,20150426,0.000735,0.000808,0.000607,0.000609,5554,300720,0.00
gamecredits,20150426,0.000545,0.000653,0.000544,0.000575,114,26401,0.00
vertcoin,20150426,0.007947,0.007980,0.006969,0.007182,897,113138,0.01
blocknet,20150426,0.047703,0.047820,0.043982,0.044511,234,477824,0.05
bitbay,20150426,0.000202,0.000220,0.000183,0.000199,638,201745,0.00
ubiq,20150426,0.025891,0.026662,0.023901,0.024343,1354,87368,0.03
nav-coin,20150426,0.003749,0.003858,0.003339,0.003471,382,218277,0.00
einsteinium,20150426,0.000128,0.000143,0.000106,0.000121,67,22495,0.00
burst,20150426,0.000283,0.000293,0.000256,0.000261,616,216089,0.00
viacoin,20150426,0.005979,0.006232,0.005584,0.005687,167,89576,0.01
peercoin,20150426,0.233570,0.233912,0.214558,0.220496,17646,5198580,0.22
counterparty,20150426,0.884403,0.886545,0.825555,0.837820,1373,2340450,0.86
hempcoin,20150426,0.000045,0.000045,0.000045,0.000045,1,7451,0.00
mooncoin,20150426,3.1e-07,3.1e-07,2.8e-07,2.9e-07,53,63139,0.00
cloakcoin,20150426,0.050688,0.056067,0.044209,0.050144,1172,231764,0.05
jinn,20150426,2.93,3.02,2.62,2.66,5,293491,2.82
groestlcoin,20150426,0.000288,0.000328,0.000275,0.000276,0,16337,0.00
gulden,20150426,0.000994,0.001061,0.000938,0.000939,578,226077,0.00
pura,20150426,0.000023,0.000024,0.000021,0.000022,31,405,0.00
feathercoin,20150426,0.004004,0.004220,0.003776,0.003861,5346,291358,0.00
supernet-unity,20150426,2.23,2.26,2.01,2.05,1211,1818970,2.13
iocoin,20150426,0.005409,0.006467,0.005244,0.005479,628,87406,0.01
namecoin,20150426,0.324923,0.327707,0.303241,0.309975,9688,3704740,0.32
eccoin,20150426,0.000004,0.000004,0.000004,0.000004,3,69512,0.00
potcoin,20150426,0.000791,0.000809,0.000755,0.000797,860,150551,0.00
newyorkcoin,20150426,5.7e-08,5.7e-08,4.1e-08,5.1e-08,3,5505,0.00
bitcny,20150426,0.161852,0.167126,0.156721,0.161686,3223,117460,0.16
solarcoin,20150426,0.003971,0.004159,0.003682,0.003740,2,133582,0.00
crown,20150426,0.001395,0.004381,0.001344,0.001360,36,5371,0.00
dimecoin,20150426,5.6e-08,6.8e-08,5.2e-08,6.6e-08,43,16771,0.00
diamond,20150426,0.114123,0.118231,0.105566,0.114239,196,117682,0.11
blackcoin,20150426,0.014767,0.014780,0.013482,0.013977,12362,1105530,0.01
gridcoin,20150426,0.000702,0.000796,0.000609,0.000731,350,251396,0.00
myriad,20150426,0.000043,0.000045,0.000041,0.000042,28,42874,0.00
faircoin,20150426,0.020330,0.020380,0.017364,0.019697,439,1050170,0.02
nushares,20150426,0.002713,0.002867,0.002311,0.002722,777,2215670,0.00
