coin,date,open,high,low,close,volume,marketcap,average
bitcoin,20160920,609.25,609.52,607.94,608.31,72710900,9673140000,608.73
ethereum,20160920,13.21,14.43,13.12,14.43,31929100,1111810000,13.77
bitcoin,20160920,609.25,609.52,607.94,608.31,72710900,9673140000,608.73
ethereum,20160920,13.21,14.43,13.12,14.43,31929100,1111810000,13.77
ripple,20160920,0.006865,0.006911,0.006748,0.006785,1365440,243406000,0.01
nem,20160920,0.005160,0.005292,0.005121,0.005127,44593,46437700,0.01
litecoin,20160920,3.83,3.86,3.82,3.84,2263260,182404000,3.84
stellar,20160920,0.002127,0.002131,0.002000,0.002052,79813,12960000,0.00
dash,20160920,11.52,11.58,11.23,11.41,447288,77743400,11.41
neo,20160920,0.331291,0.336507,0.309502,0.312621,1171,,0.32
monero,20160920,10.54,11.69,10.32,11.15,11094000,136312000,11.00
lisk,20160920,0.252716,0.260768,0.252037,0.260103,222061,25271600,0.26
ethereum-classic,20160920,1.27,1.28,1.24,1.25,2456390,107214000,1.26
verge,20160920,0.000030,0.000030,0.000024,0.000025,3200,384508,0.00
siacoin,20160920,0.000493,0.000618,0.000483,0.000536,539596,9181940,0.00
bytecoin-bcn,20160920,0.000067,0.000067,0.000061,0.000067,4432,12137900,0.00
stratis,20160920,0.034051,0.038303,0.034051,0.036401,48812,3339720,0.04
bitshares,20160920,0.005185,0.005269,0.004983,0.004990,223785,13346500,0.01
dogecoin,20160920,0.000232,0.000236,0.000229,0.000232,131253,24639800,0.00
steem,20160920,0.478552,0.486127,0.429465,0.450762,128172,71185600,0.46
tether,20160920,0.999999,0.999999,0.999999,0.999999,1590290,6951580,1.00
waves,20160920,0.191370,0.218684,0.191135,0.215727,171638,19137000,0.20
digibyte,20160920,0.000347,0.000359,0.000341,0.000347,25277,2502050,0.00
augur,20160920,12.12,12.13,12.10,12.12,55,,12.12
experience-points,20160920,1.1e-07,3.1e-07,1.1e-07,1.5e-07,19,1099,0.00
decred,20160920,1.24,1.33,1.23,1.31,41154,3328660,1.28
nexus,20160920,0.039919,0.040465,0.038303,0.039480,520,1677680,0.04
