coin,date,open,high,low,close,volume,marketcap,average
bitcoin,20141113,427.27,457.09,401.12,420.74,58945000,5765520000,429.11
bitcoin,20141113,427.27,457.09,401.12,420.74,58945000,5765520000,429.11
ripple,20141113,0.005128,0.005297,0.004910,0.005035,486595,148656000,0.01
litecoin,20141113,4.13,4.35,4.02,4.10,13963000,139504000,4.18
stellar,20141113,0.001868,0.001921,0.001673,0.001793,17376,6569220,0.00
dash,20141113,2.66,2.77,2.47,2.58,108337,12889400,2.62
monero,20141113,0.735674,0.773504,0.665388,0.704530,41143,3374860,0.72
verge,20141113,0.000004,0.000005,0.000004,0.000004,214,16056,0.00
bytecoin-bcn,20141113,0.000012,0.000013,0.000009,0.000011,6958,2018090,0.00
bitshares,20141113,0.020601,0.021902,0.019592,0.020108,578284,41198800,0.02
dogecoin,20141113,0.000244,0.000265,0.000243,0.000250,971771,23330300,0.00
digibyte,20141113,0.000076,0.000086,0.000065,0.000074,1885,197836,0.00
reddcoin,20141113,0.000043,0.000055,0.000037,0.000038,17731,1169760,0.00
monacoin,20141113,0.047790,0.052833,0.043700,0.048728,2826,669051,0.05
digitalnote,20141113,0.000052,0.000056,0.000049,0.000051,4711,347298,0.00
nxt,20141113,0.022403,0.023433,0.019495,0.020975,252366,22403200,0.02
bitcoindark,20141113,2.16,2.26,1.95,2.05,5532,2568180,2.10
maidsafecoin,20141113,0.028834,0.030714,0.025170,0.026037,15088,13049000,0.03
syscoin,20141113,0.000532,0.000563,0.000354,0.000439,2789,198911,0.00
gamecredits,20141113,0.000013,0.000014,0.000012,0.000013,0,444,0.00
vertcoin,20141113,0.058305,0.071914,0.058305,0.067342,10678,556049,0.07
blocknet,20141113,0.074957,0.080949,0.065612,0.073312,7188,,0.07
ubiq,20141113,0.007477,0.007999,0.006412,0.007152,63,24720,0.01
nav-coin,20141113,0.001492,0.001658,0.001287,0.001651,173,85847,0.00
emercoin,20141113,0.011514,0.012319,0.010742,0.011267,0,387201,0.01
einsteinium,20141113,0.000322,0.000368,0.000275,0.000320,537,49292,0.00
burst,20141113,0.000708,0.000826,0.000604,0.000631,9571,224459,0.00
viacoin,20141113,0.061550,0.069680,0.059509,0.062569,5168,741463,0.06
peercoin,20141113,0.856538,0.939163,0.810721,0.846621,284626,18730100,0.87
counterparty,20141113,9.50,10.37,7.98,9.15,266665,25158000,9.18
hempcoin,20141113,0.000293,0.000301,0.000233,0.000277,56,38960,0.00
mooncoin,20141113,8.7e-07,0.000001,8.4e-07,0.000001,7698,165945,0.00
cloakcoin,20141113,0.012948,0.013882,0.012355,0.012973,573,58758,0.01
jinn,20141113,6.16,6.44,5.36,5.77,17,616091,5.90
groestlcoin,20141113,0.000558,0.000634,0.000521,0.000631,23,29354,0.00
gulden,20141113,0.002021,0.002230,0.001780,0.001859,2182,330438,0.00
feathercoin,20141113,0.029028,0.033246,0.025812,0.029379,14649,1769710,0.03
supernet-unity,20141113,4.04,4.17,3.41,3.60,29117,3297910,3.79
iocoin,20141113,0.004833,0.006541,0.004525,0.006019,645,77977,0.01
namecoin,20141113,1.04,1.11,0.923100,0.980396,102926,10655000,1.02
eccoin,20141113,0.000004,0.000004,0.000004,0.000004,9,65204,0.00
potcoin,20141113,0.002703,0.003000,0.002461,0.002543,2987,439004,0.00
newyorkcoin,20141113,7.9e-08,1.8e-07,7.8e-08,1e-07,35,7697,0.00
bitcny,20141113,0.168097,0.170019,0.158915,0.164975,210,74079,0.16
solarcoin,20141113,0.005301,0.005833,0.004035,0.004754,2308,177742,0.00
crown,20141113,0.012391,0.012712,0.004474,0.010098,118,26770,0.01
dimecoin,20141113,1.2e-07,1.7e-07,1.2e-07,1.2e-07,781,37145,0.00
diamond,20141113,0.204007,0.227903,0.179246,0.189205,682,138624,0.20
blackcoin,20141113,0.036518,0.039351,0.034337,0.035019,76113,2728290,0.04
myriad,20141113,0.000156,0.000183,0.000145,0.000179,1528,97768,0.00
nushares,20141113,0.003798,0.004689,0.003328,0.003702,262,1798570,0.00
mintcoin,20141113,0.000013,0.000018,0.000012,0.000015,361,258713,0.00
omni,20141113,3.04,3.63,3.04,3.38,729,1712950,3.33
monetaryunit,20141113,0.000398,0.001149,0.000309,0.000320,15,16369,0.00
whitecoin,20141113,0.000447,0.000461,0.000361,0.000383,294,135669,0.00
neoscoin,20141113,0.015663,0.017575,0.013792,0.015696,635,40996,0.02
earthcoin,20141113,0.000010,0.000014,0.000008,0.000012,1900,54674,0.00
fedoracoin,20141113,2.1e-07,2.5e-07,2e-07,2.5e-07,1111,59159,0.00
