coin,date,open,high,low,close,volume,marketcap,average
bitcoin,20161111,715.55,718.32,714.41,716.41,63119700,11427200000,716.37
ethereum,20161111,10.51,10.57,10.26,10.29,6056300,902479000,10.41
bitcoin,20161111,715.55,718.32,714.41,716.41,63119700,11427200000,716.37
ethereum,20161111,10.51,10.57,10.26,10.29,6056300,902479000,10.41
ripple,20161111,0.008131,0.008146,0.008058,0.008065,2039200,290820000,0.01
nem,20161111,0.004172,0.005277,0.004097,0.004867,498999,37547700,0.00
litecoin,20161111,3.84,3.84,3.80,3.82,2124360,185609000,3.82
stellar,20161111,0.001948,0.001992,0.001897,0.001913,38438,13347300,0.00
dash,20161111,9.65,9.74,9.51,9.67,978517,66375200,9.62
neo,20161111,0.168293,0.181036,0.165815,0.176226,92296,8414650,0.17
monero,20161111,6.15,6.98,5.89,6.78,4256380,81900600,6.44
lisk,20161111,0.186237,0.193484,0.178277,0.182734,145430,18623700,0.19
ethereum-classic,20161111,0.923158,0.942383,0.897221,0.917606,487773,79151900,0.92
verge,20161111,0.000021,0.000029,0.000021,0.000021,594,274624,0.00
siacoin,20161111,0.000316,0.000328,0.000311,0.000321,34444,6399040,0.00
bytecoin-bcn,20161111,0.000050,0.000060,0.000049,0.000051,1392,9082270,0.00
zcash,20161111,224.67,226.17,183.24,183.36,1173130,4667530,204.70
stratis,20161111,0.066275,0.093214,0.066275,0.087435,129763,6504630,0.08
bitshares,20161111,0.004304,0.004316,0.004219,0.004266,31589,11086800,0.00
dogecoin,20161111,0.000228,0.000230,0.000225,0.000227,111646,24366300,0.00
ardor,20161111,0.010151,0.010630,0.009369,0.010211,28637,10140500,0.01
steem,20161111,0.143836,0.155436,0.122903,0.126787,86379,29621200,0.14
tether,20161111,0.999997,1.00,0.999997,1.00,661204,6951570,1.00
waves,20161111,0.375612,0.385704,0.365823,0.379701,87279,37561200,0.38
digibyte,20161111,0.000293,0.000299,0.000286,0.000288,7473,2197910,0.00
augur,20161111,4.92,5.08,4.69,4.85,268521,54109300,4.88
experience-points,20161111,3.8e-08,3.8e-08,3.8e-08,3.8e-08,6,987,0.00
decred,20161111,0.713664,0.731267,0.643377,0.645018,10221,2202070,0.69
nexus,20161111,0.020647,0.023534,0.017959,0.022223,1916,906344,0.02
reddcoin,20161111,0.000040,0.000043,0.000036,0.000039,589,1118040,0.00
pivx,20161111,0.010944,0.011167,0.008849,0.009091,394,523465,0.01
