coin,date,open,high,low,close,volume,marketcap,average
ethereum,20170526,175.22,193.69,150.28,160.40,792458000,16107000000,171.99
bitcoin,20170526,2320.89,2573.79,2071.99,2202.42,1763480000,37950600000,2322.89
ethereum,20170526,175.22,193.69,150.28,160.40,792458000,16107000000,171.99
ripple,20170526,0.245083,0.327812,0.245083,0.271808,253935000,9374260000,0.29
nem,20170526,0.204998,0.239563,0.172858,0.182618,20842000,1844980000,0.21
litecoin,20170526,30.33,31.32,22.56,23.75,484254000,1554680000,26.94
stellar,20170526,0.039485,0.052619,0.036826,0.041065,29999000,380046000,0.04
dash,20170526,118.61,139.46,110.03,112.94,45411400,868031000,124.75
neo,20170526,1.11,1.22,0.694110,0.826549,6847940,55293000,0.96
monero,20170526,39.81,44.61,34.84,38.71,24735300,578017000,39.73
qtum,20170526,4.66,5.33,3.39,4.10,5116020,,4.36
lisk,20170526,1.14,1.45,0.945689,1.08,5264140,122385000,1.20
raiblocks,20170526,0.030299,0.035080,0.023691,0.023705,34003,2176860,0.03
ethereum-classic,20170526,16.52,17.99,13.17,14.26,321918000,1519550000,15.58
verge,20170526,0.001121,0.001369,0.000973,0.001026,1045830,15037100,0.00
siacoin,20170526,0.009264,0.009692,0.006690,0.007124,17252100,243823000,0.01
bytecoin-bcn,20170526,0.002465,0.003679,0.002131,0.002176,1679820,450989000,0.00
bitconnect,20170526,15.56,17.57,14.07,15.26,591390,99749800,15.82
zcash,20170526,222.02,252.28,179.41,197.88,30254100,306780000,215.84
stratis,20170526,2.67,3.43,2.59,3.03,6004290,262417000,3.01
bitshares,20170526,0.076994,0.087626,0.051688,0.059636,14679300,200331000,0.07
dogecoin,20170526,0.002950,0.003277,0.002302,0.002424,32173900,323102000,0.00
ardor,20170526,0.126246,0.148972,0.099388,0.103885,2458030,126120000,0.12
steem,20170526,1.08,1.31,0.927384,0.960876,4110000,252678000,1.12
tether,20170526,1.02,1.10,1.01,1.04,125946000,69907900,1.06
waves,20170526,2.35,2.95,2.33,2.49,1994070,235176000,2.64
digibyte,20170526,0.016124,0.016897,0.013383,0.013603,14528200,130721000,0.02
augur,20170526,23.65,27.96,21.11,22.01,4050870,260132000,24.54
komodo,20170526,0.460185,0.609750,0.431394,0.479890,239495,46453600,0.52
golem-network-tokens,20170526,0.393475,0.464871,0.337189,0.365831,8600610,324566000,0.40
ark,20170526,0.244352,0.286233,0.234587,0.275954,156192,23250200,0.26
experience-points,20170526,3.4e-07,3.5e-07,1.4e-07,1.5e-07,55,,0.00
decred,20170526,21.90,26.09,19.44,21.40,1221450,108815000,22.77
nexus,20170526,0.453132,0.554606,0.431210,0.445393,46327,22502400,0.49
reddcoin,20170526,0.001667,0.001779,0.001130,0.001337,2035880,47550000,0.00
pivx,20170526,1.34,1.57,1.04,1.19,3535410,71577700,1.31
factom,20170526,12.16,15.84,11.10,11.91,3120110,106399000,13.47
monacoin,20170526,0.270336,0.328566,0.225933,0.236443,69042,13570400,0.28
digitalnote,20170526,0.001770,0.001994,0.001413,0.001530,545591,12182900,0.00
nxt,20170526,0.066503,0.074444,0.050032,0.053560,3693040,66436900,0.06
bitcoindark,20170526,21.15,25.79,19.85,21.20,100526,27263300,22.82
byteball,20170526,299.50,340.55,268.84,292.03,130028,56690900,304.69
maidsafecoin,20170526,0.390895,0.451786,0.339416,0.375305,1863060,176900000,0.40
syscoin,20170526,0.133449,0.151244,0.108210,0.113182,4724420,70060900,0.13
iconomi,20170526,1.04,1.43,0.977166,1.08,1134780,90355600,1.20
digixdao,20170526,83.15,93.70,49.54,61.84,1513610,166292000,71.62
zcoin,20170526,5.92,6.71,4.88,5.16,883223,12900800,5.79
gnosis-gno,20170526,220.86,254.95,192.54,203.66,2538650,243964000,223.75
paccoin,20170526,4.6e-08,7.6e-08,3.9e-08,4.6e-08,546,,0.00
gamecredits,20170526,2.71,3.25,2.27,2.45,2457180,170511000,2.76
zclassic,20170526,3.38,3.55,2.73,2.94,95517,4807560,3.14
vertcoin,20170526,0.359076,0.401332,0.285022,0.305433,468534,12006400,0.34
skycoin,20170526,1.85,2.51,1.70,1.84,59853,10026100,2.10
blocknet,20170526,3.20,3.56,2.63,3.04,41429,12531400,3.09
bitbay,20170526,0.018169,0.020486,0.016371,0.016682,49632,18305400,0.02
xtrabytes,20170526,0.005845,0.007031,0.005164,0.005993,26817,3799240,0.01
ubiq,20170526,0.427534,0.519355,0.424613,0.510608,751592,15834900,0.47
nav-coin,20170526,0.302966,0.372570,0.268738,0.289421,656225,18502200,0.32
singulardtv,20170526,0.161716,0.209754,0.148423,0.148688,248696,97029600,0.18
aragon,20170526,2.09,2.50,1.72,1.96,1150820,70263400,2.11
edgeless,20170526,0.250962,0.297359,0.233940,0.256158,294682,19735800,0.27
emercoin,20170526,0.946898,1.09,0.790547,0.814313,991188,37994500,0.94
rlc,20170526,0.591340,0.664309,0.475515,0.545000,446650,46166400,0.57
einsteinium,20170526,0.031845,0.038869,0.029033,0.030413,263834,6711220,0.03
firstblood,20170526,0.816044,0.898221,0.522446,0.627584,2983310,69819400,0.71
burst,20170526,0.009979,0.011523,0.008788,0.009146,767765,17716500,0.01
triggers,20170526,0.033579,0.040171,0.028163,0.028874,391,1078070,0.03
viacoin,20170526,0.387359,0.486822,0.349951,0.374102,136433,8765730,0.42
wings,20170526,0.261134,0.320462,0.249521,0.266439,279812,23425900,0.28
peercoin,20170526,1.70,1.88,1.43,1.48,2629060,40923500,1.65
counterparty,20170526,11.49,12.93,9.39,9.91,422108,30096400,11.16
melon,20170526,51.38,68.94,51.38,57.45,443889,30799100,60.16
decent,20170526,4.12,4.47,3.49,3.79,1349,,3.98
hempcoin,20170526,0.003845,0.004386,0.003326,0.003634,3998,814555,0.00
library-credit,20170526,0.211855,0.245464,0.171002,0.175483,475222,14517300,0.21
mooncoin,20170526,0.000068,0.000076,0.000025,0.000045,179890,15135000,0.00
rise,20170526,0.022428,0.022896,0.017584,0.020560,25886,2408500,0.02
agoras-tokens,20170526,0.326016,0.413638,0.309803,0.355496,6821,13692700,0.36
cloakcoin,20170526,0.721099,0.800236,0.554616,0.622959,16261,3603950,0.68
aeon,20170526,0.457791,0.483752,0.393117,0.434983,37128,6494440,0.44
asch,20170526,0.100716,0.113745,0.067037,0.072866,142764,7553700,0.09
shift,20170526,0.536643,0.629438,0.502306,0.563457,43898,5799370,0.57
voxels,20170526,0.038896,0.046209,0.024791,0.026562,387570,1225230,0.04
jinn,20170526,40.07,91.68,38.04,75.94,152,2352120,64.86
groestlcoin,20170526,0.027428,0.030613,0.025046,0.026956,9134,1852970,0.03
gulden,20170526,0.070040,0.078000,0.060892,0.066999,125931,24242200,0.07
lunyr,20170526,2.83,3.38,2.70,2.89,139774,6514120,3.04
pura,20170526,0.008096,0.010203,0.006885,0.008384,12352,1785020,0.01
trust,20170526,0.242202,0.306422,0.242202,0.263760,335931,22318300,0.27
feathercoin,20170526,0.034142,0.038071,0.028732,0.028732,137971,5565070,0.03
guppy,20170526,0.260041,0.288740,0.210606,0.236349,276613,19503100,0.25
salus,20170526,6.24,6.88,4.62,4.63,2269,6260990,5.75
spectrecoin,20170526,0.096543,0.152317,0.095585,0.108551,132270,1967030,0.12
supernet-unity,20170526,6.90,7.72,6.50,6.50,130,5632550,7.11
humaniq,20170526,0.173975,0.216634,0.162593,0.174517,463408,20142300,0.19
iocoin,20170526,0.746276,0.959147,0.698456,0.752924,44985,12190100,0.83
pascal-coin,20170526,0.771103,0.936766,0.687436,0.714415,373192,7510850,0.81
taas,20170526,1.45,1.63,1.32,1.41,125931,11824800,1.48
mercury,20170526,0.011203,0.013120,0.009813,0.010275,14516,1120260,0.01
