coin,date,open,high,low,close,volume,marketcap,average
bitcoin,20140604,666.77,668.56,624.09,641.61,37731500,8569660000,646.33
bitcoin,20140604,666.77,668.56,624.09,641.61,37731500,8569660000,646.33
ripple,20140604,0.004380,0.004411,0.003947,0.003952,438672,34239100,0.00
litecoin,20140604,11.47,11.51,10.93,11.06,4085750,332174000,11.22
dash,20140604,13.83,13.89,12.03,12.50,1454730,60216600,12.96
monero,20140604,1.93,1.99,1.71,1.81,51886,2238440,1.85
dogecoin,20140604,0.000384,0.000386,0.000353,0.000362,1065750,30991000,0.00
digibyte,20140604,0.000415,0.000416,0.000268,0.000280,32947,489782,0.00
reddcoin,20140604,0.000026,0.000027,0.000019,0.000024,3678,634104,0.00
monacoin,20140604,0.027372,0.034830,0.026040,0.028553,653,210523,0.03
nxt,20140604,0.068705,0.076176,0.059624,0.074759,668345,68704300,0.07
maidsafecoin,20140604,0.014892,0.017283,0.013308,0.014461,11723,6739550,0.02
vertcoin,20140604,0.872264,0.910201,0.840623,0.857409,55342,4284820,0.88
einsteinium,20140604,0.000528,0.000555,0.000449,0.000454,1280,55370,0.00
peercoin,20140604,1.86,1.88,1.71,1.72,288331,39792400,1.79
counterparty,20140604,2.74,3.04,2.38,2.70,7909,7261110,2.71
mooncoin,20140604,4.6e-07,5.5e-07,4.4e-07,4.4e-07,309,51193,0.00
groestlcoin,20140604,0.003237,0.004239,0.003135,0.003158,5355,145629,0.00
gulden,20140604,0.000754,0.000899,0.000711,0.000892,1264,172413,0.00
feathercoin,20140604,0.054023,0.075454,0.050632,0.056662,10441,2435130,0.06
namecoin,20140604,2.32,2.34,2.16,2.22,131306,20719100,2.25
eccoin,20140604,0.000006,0.000006,0.000005,0.000006,433,109768,0.00
potcoin,20140604,0.005114,0.006355,0.004958,0.005785,24639,607939,0.01
newyorkcoin,20140604,0.000007,0.000007,0.000006,0.000006,1,547927,0.00
solarcoin,20140604,0.007375,0.008197,0.006285,0.006613,951,143079,0.01
diamond,20140604,0.197645,0.198655,0.161999,0.163965,248,73029,0.18
blackcoin,20140604,0.179053,0.190205,0.159226,0.168994,736818,13347300,0.17
myriad,20140604,0.001551,0.003214,0.001385,0.002640,143506,457355,0.00
faircoin,20140604,0.001609,0.001971,0.001552,0.001552,228,80477,0.00
mintcoin,20140604,0.000031,0.000037,0.000025,0.000030,5631,586216,0.00
omni,20140604,13.87,18.57,12.71,15.52,11042,8595200,15.64
whitecoin,20140604,0.001322,0.001375,0.000836,0.000933,16570,399787,0.00
earthcoin,20140604,0.000020,0.000052,0.000015,0.000026,3003,64136,0.00
fedoracoin,20140604,7.6e-07,7.7e-07,6e-07,6.5e-07,2282,198395,0.00
rubycoin,20140604,0.005352,0.006308,0.004178,0.004503,1711,99612,0.01
vericoin,20140604,0.004940,0.018057,0.003745,0.016044,88324,132197,0.01
pinkcoin,20140604,0.000214,0.000355,0.000178,0.000289,8919,77760,0.00
florincoin,20140604,0.001013,0.001456,0.000969,0.001018,368,47561,0.00
noblecoin,20140604,0.000144,0.000169,0.000132,0.000159,6498,191169,0.00
energycoin,20140604,0.000154,0.000155,0.000126,0.000154,17,16984,0.00
zeitcoin,20140604,0.000007,0.000013,0.000006,0.000006,341,181940,0.00
pandacoin-pnd,20140604,0.000019,0.000019,0.000013,0.000019,863,612036,0.00
curecoin,20140604,0.234164,0.264766,0.156407,0.156407,826,329775,0.21
primecoin,20140604,0.587357,0.590518,0.562048,0.570513,14455,3487470,0.58
dopecoin,20140604,0.000440,0.000512,0.000374,0.000413,221,24162,0.00
unobtanium,20140604,2.85,2.98,2.44,2.59,1280,529207,2.71
pesetacoin,20140604,0.002834,0.004048,0.002652,0.002913,175,98846,0.00
goldcoin,20140604,0.011796,0.012312,0.010315,0.010581,518,368798,0.01
bitcoin-plus,20140604,2.14,5.64,1.97,3.34,26324,118246,3.80
belacoin,20140604,0.000377,0.001407,0.000329,0.000390,17,1682,0.00
sexcoin,20140604,0.002694,0.002701,0.002537,0.002585,221,193714,0.00
dnotes,20140604,0.001610,0.001616,0.001238,0.001480,1685,140964,0.00
auroracoin,20140604,0.230569,0.245674,0.203929,0.206472,1694,2507650,0.22
asiacoin,20140604,0.001160,0.002009,0.001070,0.001937,28220,203282,0.00
riecoin,20140604,0.045705,0.047725,0.041328,0.042590,533,149554,0.04
novacoin,20140604,2.28,2.29,2.02,2.12,12355,1862240,2.16
quark,20140604,0.016430,0.016494,0.015720,0.016132,15110,4072960,0.02
ixcoin,20140604,0.071039,0.074266,0.062334,0.067798,3202,1410510,0.07
terracoin,20140604,0.065723,0.065899,0.050830,0.056744,1274,434699,0.06
huntercoin,20140604,0.026858,0.042658,0.025802,0.042250,384,58496,0.03
anoncoin,20140604,0.951839,0.977929,0.854188,0.878200,12546,949802,0.92
worldcoin,20140604,0.023061,0.024823,0.022082,0.024734,20902,1316230,0.02
mazacoin,20140604,0.000244,0.000258,0.000221,0.000224,1252,99218,0.00
bluecoin,20140604,0.000135,0.000151,0.000121,0.000121,1151,36549,0.00
e-gulden,20140604,0.004940,0.005971,0.003083,0.003083,137,63347,0.00
netcoin,20140604,0.000994,0.001016,0.000946,0.000957,1960,268197,0.00
fluttercoin,20140604,0.003028,0.003059,0.002619,0.002639,18606,576173,0.00
canada-ecoin,20140604,0.000347,0.000361,0.000192,0.000296,112,3674,0.00
cryptogenic-bullion,20140604,0.233384,0.284915,0.233384,0.253435,613,222027,0.26
fastcoin,20140604,0.001202,0.001748,0.001131,0.001338,1600,99137,0.00
megacoin,20140604,0.086767,0.088543,0.076586,0.084282,12915,2059880,0.08
unbreakablecoin,20140604,0.018059,0.022107,0.011545,0.013395,1644,26023,0.02
smartcoin,20140604,0.001114,0.001117,0.001042,0.001071,44,16301,0.00
petrodollar,20140604,0.000668,0.000669,0.000624,0.000642,0,23083,0.00
zetacoin,20140604,0.015816,0.016048,0.014086,0.014457,13573,2538660,0.02
teslacoin,20140604,0.000353,0.000375,0.000277,0.000372,284,19728,0.00
digitalcoin,20140604,0.022038,0.022628,0.019947,0.020015,2046,343014,0.02
qubitcoin,20140604,0.000201,0.000205,0.000167,0.000185,64,47760,0.00
hobonickels,20140604,0.090014,0.112904,0.089928,0.097068,993,420779,0.10
nyancoin,20140604,0.000133,0.000134,0.000072,0.000108,61,9725,0.00
