coin,date,open,high,low,close,volume,marketcap,average
bitcoin,20141106,339.46,352.97,338.42,349.29,18797000,4571830000,345.70
bitcoin,20141106,339.46,352.97,338.42,349.29,18797000,4571830000,345.70
ripple,20141106,0.004861,0.004898,0.004834,0.004877,416386,140920000,0.00
litecoin,20141106,3.64,3.67,3.62,3.65,2461750,122198000,3.65
stellar,20141106,0.001755,0.001781,0.001713,0.001764,13531,2623700,0.00
dash,20141106,1.75,1.99,1.74,1.99,82374,8460600,1.86
monero,20141106,0.570834,0.597075,0.556807,0.595903,28528,2540200,0.58
verge,20141106,0.000004,0.000007,0.000004,0.000004,203,14112,0.00
bytecoin-bcn,20141106,0.000011,0.000012,0.000010,0.000011,5672,1843250,0.00
bitshares,20141106,0.019702,0.019772,0.017279,0.018014,336188,39401900,0.02
dogecoin,20141106,0.000217,0.000228,0.000215,0.000226,458974,20631800,0.00
digibyte,20141106,0.000064,0.000084,0.000064,0.000077,4694,160023,0.00
reddcoin,20141106,0.000044,0.000046,0.000041,0.000042,2202,1188790,0.00
monacoin,20141106,0.047432,0.053978,0.047409,0.050251,3020,653108,0.05
digitalnote,20141106,0.000044,0.000045,0.000036,0.000040,1765,294634,0.00
nxt,20141106,0.020103,0.020717,0.019956,0.020352,37290,20103000,0.02
bitcoindark,20141106,1.96,2.03,1.89,1.98,1738,2338690,1.96
maidsafecoin,20141106,0.023589,0.024780,0.023522,0.023714,9095,10675300,0.02
syscoin,20141106,0.000419,0.000499,0.000409,0.000452,907,156631,0.00
gamecredits,20141106,0.000010,0.000011,0.000010,0.000010,0,346,0.00
vertcoin,20141106,0.059294,0.059294,0.055270,0.055494,2010,553729,0.06
blocknet,20141106,0.084912,0.088569,0.083376,0.085531,101969,,0.09
ubiq,20141106,0.007129,0.007160,0.005781,0.007028,438,23554,0.01
nav-coin,20141106,0.001165,0.001360,0.001161,0.001322,286,66978,0.00
emercoin,20141106,0.008317,0.008417,0.007368,0.007676,344,279260,0.01
einsteinium,20141106,0.000342,0.000409,0.000325,0.000350,758,51920,0.00
burst,20141106,0.000330,0.000342,0.000299,0.000328,1277,80083,0.00
viacoin,20141106,0.049711,0.053961,0.046005,0.046374,2733,592886,0.05
peercoin,20141106,0.777293,0.811931,0.773014,0.807714,61105,16987100,0.79
counterparty,20141106,4.26,4.56,4.25,4.37,45957,11276100,4.40
