coin,date,open,high,low,close,volume,marketcap,average
bitcoin,20140419,479.58,503.56,470.56,501.56,19588200,6073340000,487.06
bitcoin,20140419,479.58,503.56,470.56,501.56,19588200,6073340000,487.06
ripple,20140419,0.006209,0.006570,0.006146,0.006473,207541,48541900,0.01
litecoin,20140419,12.05,12.89,11.64,12.82,6728010,332274000,12.27
dash,20140419,0.794215,0.794215,0.701508,0.736829,57416,3232440,0.75
dogecoin,20140419,0.000613,0.000651,0.000602,0.000646,1622690,43987600,0.00
digibyte,20140419,0.000170,0.000200,0.000151,0.000188,3709,171040,0.00
reddcoin,20140419,0.000014,0.000020,0.000010,0.000015,7037,284445,0.00
monacoin,20140419,0.058993,0.063603,0.057200,0.060193,1482,325555,0.06
nxt,20140419,0.025254,0.027480,0.024363,0.025535,43091,25253500,0.03
vertcoin,20140419,0.981245,1.05,0.964999,1.04,25933,3516050,1.01
einsteinium,20140419,0.002990,0.003925,0.002898,0.003679,32800,216041,0.00
peercoin,20140419,2.47,2.73,2.32,2.72,534888,52766000,2.52
counterparty,20140419,1.80,1.97,1.72,1.96,12414,4780180,1.84
mooncoin,20140419,0.000002,0.000002,0.000002,0.000002,1818,136688,0.00
groestlcoin,20140419,0.003073,0.003420,0.002486,0.003194,2288,58452,0.00
gulden,20140419,0.000672,0.000780,0.000473,0.000552,612,135736,0.00
feathercoin,20140419,0.111393,0.119416,0.108221,0.115469,17644,4477240,0.11
namecoin,20140419,2.46,2.73,2.37,2.68,648618,21038300,2.55
eccoin,20140419,0.000034,0.000039,0.000029,0.000035,17765,541094,0.00
potcoin,20140419,0.014285,0.016767,0.014017,0.015540,109745,1124250,0.02
solarcoin,20140419,0.005077,0.006564,0.005046,0.005084,283,74341,0.01
diamond,20140419,0.139563,0.145965,0.136933,0.145268,201,49493,0.14
blackcoin,20140419,0.184595,0.239645,0.180422,0.233024,1622830,13754100,0.21
myriad,20140419,0.002263,0.002689,0.002259,0.002542,12583,357038,0.00
faircoin,20140419,0.012322,0.016113,0.011825,0.013551,31283,616301,0.01
mintcoin,20140419,0.000071,0.000075,0.000066,0.000070,11073,1340470,0.00
omni,20140419,65.36,75.32,59.51,75.16,69540,40487500,67.41
whitecoin,20140419,0.007853,0.012359,0.006356,0.009056,1120680,1119530,0.01
earthcoin,20140419,0.000043,0.000047,0.000038,0.000045,1461,105334,0.00
fedoracoin,20140419,0.000001,0.000001,9.9e-07,0.000001,2450,249333,0.00
rubycoin,20140419,0.001664,0.001909,0.001637,0.001685,80,22953,0.00
florincoin,20140419,0.001925,0.002049,0.001832,0.002039,40,81557,0.00
noblecoin,20140419,0.000096,0.000676,0.000079,0.000515,60609,90766,0.00
zeitcoin,20140419,0.000022,0.000030,0.000021,0.000030,5381,592123,0.00
pandacoin-pnd,20140419,0.000002,0.000002,0.000001,0.000002,327,49801,0.00
primecoin,20140419,0.951567,1.01,0.918960,0.994470,39087,5048130,0.96
dopecoin,20140419,0.000782,0.003726,0.000770,0.002362,67340,30981,0.00
unobtanium,20140419,3.02,3.19,2.87,3.18,1839,526518,3.03
pesetacoin,20140419,0.022775,0.022775,0.015286,0.015298,38,548123,0.02
goldcoin,20140419,0.017345,0.018269,0.016405,0.017908,2999,531079,0.02
belacoin,20140419,0.001406,0.001675,0.000943,0.001003,17,3967,0.00
sexcoin,20140419,0.002846,0.002972,0.002695,0.002952,2398,194446,0.00
dnotes,20140419,0.000703,0.000932,0.000457,0.000862,1217,50016,0.00
auroracoin,20140419,0.910146,0.921264,0.855393,0.890231,17455,9749910,0.89
riecoin,20140419,0.063141,0.075126,0.059245,0.066416,724,123937,0.07
novacoin,20140419,4.13,4.40,4.01,4.24,16299,3181650,4.21
quark,20140419,0.022905,0.027344,0.021920,0.025965,31123,5675050,0.02
ixcoin,20140419,0.056509,0.088428,0.051749,0.081753,2573,1082360,0.07
terracoin,20140419,0.116922,0.118740,0.106450,0.116929,5493,714200,0.11
huntercoin,20140419,0.091145,0.222703,0.082819,0.175498,10648,137792,0.15
anoncoin,20140419,0.844944,0.960059,0.831071,0.941680,11141,741628,0.90
worldcoin,20140419,0.042220,0.047256,0.040558,0.044561,33277,2215180,0.04
mazacoin,20140419,0.000774,0.000774,0.000645,0.000698,7434,197195,0.00
e-gulden,20140419,0.021904,0.022361,0.013447,0.014040,3550,263024,0.02
netcoin,20140419,0.001704,0.002009,0.001699,0.002009,3344,432466,0.00
fluttercoin,20140419,0.011061,0.011855,0.008786,0.009868,465637,1857260,0.01
cryptogenic-bullion,20140419,0.402515,0.428310,0.400886,0.412438,605,381940,0.41
fastcoin,20140419,0.001353,0.001555,0.001319,0.001464,802,97698,0.00
megacoin,20140419,0.113965,0.138210,0.113151,0.134192,82114,2629780,0.13
smartcoin,20140419,0.001271,0.001425,0.001223,0.001239,267,14244,0.00
petrodollar,20140419,0.000211,0.000255,0.000207,0.000251,26,4189,0.00
zetacoin,20140419,0.021051,0.023164,0.020943,0.022418,64007,3375330,0.02
teslacoin,20140419,0.000971,0.001014,0.000860,0.001011,372,43599,0.00
digitalcoin,20140419,0.041634,0.044343,0.036397,0.043767,7115,610032,0.04
qubitcoin,20140419,0.000282,0.000359,0.000270,0.000292,911,66345,0.00
hobonickels,20140419,0.137516,0.154596,0.133221,0.149916,1537,540536,0.14
