coin,date,open,high,low,close,volume,marketcap,average
bitcoin,20141211,344.34,361.36,338.76,350.51,32431300,4681040000,350.06
bitcoin,20141211,344.34,361.36,338.76,350.51,32431300,4681040000,350.06
ripple,20141211,0.015885,0.016374,0.015805,0.016374,1620910,490557000,0.02
litecoin,20141211,3.49,3.56,3.44,3.48,2667680,120898000,3.50
stellar,20141211,0.002427,0.002673,0.002336,0.002585,44075,8608130,0.00
dash,20141211,2.23,2.33,2.20,2.29,34058,11019200,2.27
monero,20141211,0.387380,0.407224,0.376755,0.398488,22967,1959700,0.39
verge,20141211,0.000006,0.000006,0.000004,0.000004,63,22219,0.00
bytecoin-bcn,20141211,0.000010,0.000011,0.000010,0.000011,4522,1661480,0.00
bitshares,20141211,0.015217,0.015985,0.014920,0.015531,142806,38010700,0.02
dogecoin,20141211,0.000208,0.000214,0.000203,0.000206,410013,20076000,0.00
digibyte,20141211,0.000055,0.000058,0.000052,0.000057,1207,157258,0.00
reddcoin,20141211,0.000036,0.000036,0.000031,0.000035,1761,968129,0.00
monacoin,20141211,0.037080,0.038831,0.034240,0.036477,2122,552533,0.04
digitalnote,20141211,0.000040,0.000042,0.000039,0.000041,4632,268935,0.00
nxt,20141211,0.016899,0.017853,0.016521,0.017853,42023,16898800,0.02
bitcoindark,20141211,1.86,2.03,1.84,1.97,2819,2228310,1.94
maidsafecoin,20141211,0.043801,0.049611,0.042988,0.049611,7418,19822300,0.05
syscoin,20141211,0.000401,0.000477,0.000375,0.000407,648,155372,0.00
gamecredits,20141211,0.000086,0.000090,0.000085,0.000089,2,3325,0.00
vertcoin,20141211,0.050180,0.052838,0.048554,0.052838,6548,519312,0.05
blocknet,20141211,0.042200,0.050393,0.037836,0.047001,641,,0.04
bitbay,20141211,0.000308,0.000328,0.000257,0.000257,31947,308504,0.00
ubiq,20141211,0.003386,0.005076,0.003382,0.004156,16,11224,0.00
nav-coin,20141211,0.000946,0.000948,0.000724,0.000783,186,54564,0.00
emercoin,20141211,0.008785,0.010912,0.007811,0.010911,606,297176,0.01
einsteinium,20141211,0.000238,0.000252,0.000229,0.000247,70,37195,0.00
burst,20141211,0.000559,0.000630,0.000524,0.000602,3651,178017,0.00
viacoin,20141211,0.034091,0.035793,0.033555,0.034828,660,427364,0.03
peercoin,20141211,0.667003,0.686592,0.657057,0.669178,31185,14626600,0.67
counterparty,20141211,4.74,4.86,4.55,4.68,9774,12546400,4.71
hempcoin,20141211,0.000096,0.000107,0.000096,0.000098,8,13370,0.00
mooncoin,20141211,0.000002,0.000002,0.000001,0.000001,4453,306244,0.00
cloakcoin,20141211,0.007973,0.008748,0.007266,0.007266,1124,36212,0.01
jinn,20141211,5.83,6.41,5.70,6.41,205,583009,6.05
groestlcoin,20141211,0.000207,0.000230,0.000182,0.000182,34,11038,0.00
gulden,20141211,0.001387,0.001688,0.001362,0.001455,930,248213,0.00
feathercoin,20141211,0.022655,0.023589,0.020322,0.021431,2781,1415590,0.02
supernet-unity,20141211,3.63,4.38,3.63,3.90,21503,2966200,4.00
iocoin,20141211,0.002907,0.003540,0.002627,0.003305,431,46912,0.00
namecoin,20141211,0.864218,0.883901,0.851139,0.867074,18604,9040410,0.87
eccoin,20141211,0.000002,0.000002,0.000001,0.000001,30,33191,0.00
potcoin,20141211,0.001467,0.001516,0.001427,0.001480,587,248021,0.00
newyorkcoin,20141211,7.4e-08,7.5e-08,3.6e-08,5.2e-08,1,7253,0.00
bitcny,20141211,0.162757,0.168588,0.159376,0.161618,220,74084,0.16
solarcoin,20141211,0.006585,0.007878,0.006456,0.007878,575,221047,0.01
crown,20141211,0.005206,0.005720,0.004555,0.004557,71,12905,0.01
dimecoin,20141211,1e-07,1.4e-07,1e-07,1.1e-07,42,31401,0.00
diamond,20141211,0.149714,0.157115,0.145441,0.151096,109,109602,0.15
blackcoin,20141211,0.023469,0.023957,0.022034,0.023920,34693,1753770,0.02
myriad,20141211,0.000074,0.000076,0.000071,0.000074,348,46190,0.00
faircoin,20141211,0.008608,0.009034,0.008469,0.008763,22,439764,0.01
nushares,20141211,0.005480,0.005796,0.004347,0.004522,26165,3315660,0.01
mintcoin,20141211,0.000007,0.000007,0.000006,0.000007,122,146872,0.00
omni,20141211,3.53,4.01,3.50,4.01,598,1990130,3.75
monetaryunit,20141211,0.000139,0.000161,0.000138,0.000146,8,5914,0.00
whitecoin,20141211,0.000300,0.000327,0.000295,0.000314,134,91065,0.00
neoscoin,20141211,0.012545,0.014260,0.012342,0.012765,360,38461,0.01
earthcoin,20141211,0.000006,0.000007,0.000004,0.000007,1201,32353,0.00
fedoracoin,20141211,2.8e-07,3.2e-07,2.5e-07,2.9e-07,310,78491,0.00
foldingcoin,20141211,0.000166,0.000174,0.000163,0.000172,1,165972,0.00
rubycoin,20141211,0.002861,0.003333,0.002815,0.003102,173,62779,0.00
vericoin,20141211,0.013135,0.014143,0.013087,0.013598,1244,353690,0.01
pinkcoin,20141211,0.000247,0.000308,0.000235,0.000283,44,89801,0.00
florincoin,20141211,0.000248,0.000253,0.000245,0.000251,8,20552,0.00
clams,20141211,1.45,1.55,1.26,1.41,11539,486153,1.41
stealthcoin,20141211,0.009882,0.010800,0.008821,0.010680,5384,211074,0.01
noblecoin,20141211,0.000036,0.000047,0.000036,0.000038,1991,86612,0.00
energycoin,20141211,0.000162,0.000193,0.000159,0.000189,54,18324,0.00
carboncoin,20141211,0.000003,0.000004,0.000003,0.000004,0,50506,0.00
zeitcoin,20141211,0.000003,0.000003,0.000003,0.000003,79,88024,0.00
pandacoin-pnd,20141211,0.000025,0.000032,0.000024,0.000032,1207,796713,0.00
spreadcoin,20141211,0.034434,0.046803,0.033879,0.046803,315,43386,0.04
artbyte,20141211,0.000247,0.000252,0.000180,0.000249,105,93509,0.00
bitusd,20141211,1.01,1.04,0.983493,1.00,7111,960342,1.01
curecoin,20141211,0.012253,0.012275,0.009948,0.010758,106,308118,0.01
bitmark,20141211,0.216110,0.264060,0.213425,0.220936,75,199984,0.24
primecoin,20141211,0.113951,0.120006,0.112237,0.112837,2817,934843,0.12
boolberry,20141211,0.052009,0.053095,0.049729,0.051517,16,123604,0.05
dopecoin,20141211,0.000179,0.000200,0.000175,0.000200,142,23554,0.00
unobtanium,20141211,2.25,2.48,2.21,2.45,610,433645,2.34
cannabiscoin,20141211,0.004867,0.005042,0.004615,0.004690,3877,344660,0.00
pesetacoin,20141211,0.001140,0.001290,0.001053,0.001053,1040,91343,0.00
hyperstake,20141211,0.001279,0.001420,0.001242,0.001419,298,76395,0.00
goldcoin,20141211,0.006548,0.007268,0.006488,0.006532,172,218898,0.01
bitcoin-plus,20141211,0.344337,0.361353,0.262826,0.262901,0,19059,0.31
startcoin,20141211,0.016588,0.016803,0.015772,0.015772,914,118924,0.02
belacoin,20141211,0.000062,0.000065,0.000061,0.000064,1,379,0.00
sexcoin,20141211,0.000296,0.000308,0.000291,0.000303,26,25721,0.00
dnotes,20141211,0.007512,0.007929,0.006927,0.007227,1512,707359,0.01
blitzcash,20141211,0.003512,0.003721,0.003408,0.003714,307,12958,0.00
auroracoin,20141211,0.028405,0.029528,0.026260,0.028307,1175,60382,0.03
asiacoin,20141211,0.000213,0.000232,0.000209,0.000210,18,40779,0.00
riecoin,20141211,0.006911,0.006912,0.006578,0.006578,464,59857,0.01
korecoin,20141211,0.030267,0.031763,0.024131,0.028613,471,52795,0.03
novacoin,20141211,0.584422,0.607095,0.576906,0.589117,2195,494884,0.59
quark,20141211,0.004512,0.004658,0.004344,0.004636,1416,1121050,0.00
exclusivecoin,20141211,0.008613,0.009250,0.007383,0.008256,3295,67242,0.01
ufo-coin,20141211,0.000025,0.000026,0.000024,0.000025,179,39432,0.00
nubits,20141211,0.989924,1.04,0.981496,0.995022,105804,2223000,1.01
greencoin,20141211,0.000013,0.000017,0.000012,0.000015,39,5968,0.00
bunnycoin,20141211,2.2e-07,2.7e-07,1.9e-07,2.7e-07,175,17522,0.00
ixcoin,20141211,0.031980,0.033264,0.029253,0.029253,786,671569,0.03
trustplus,20141211,0.000482,0.000596,0.000474,0.000585,78,14981,0.00
magi,20141211,0.033728,0.039218,0.032073,0.034796,1429,59593,0.04
terracoin,20141211,0.020886,0.024122,0.020742,0.021350,404,138143,0.02
huntercoin,20141211,0.003574,0.004001,0.003354,0.003873,78,14898,0.00
anoncoin,20141211,0.201467,0.223519,0.196534,0.214143,6671,292218,0.21
worldcoin,20141211,0.006536,0.007240,0.006268,0.006911,2570,452853,0.01
mazacoin,20141211,0.000052,0.000058,0.000047,0.000050,53,31375,0.00
bitswift,20141211,0.074530,0.079319,0.064920,0.067361,8679,298588,0.07
bluecoin,20141211,0.000068,0.000093,0.000067,0.000078,737,37812,0.00
cryptonite,20141211,0.000760,0.000796,0.000636,0.000667,214,36062,0.00
digitalprice,20141211,0.009520,0.011961,0.008802,0.010262,163,6124,0.01
e-gulden,20141211,0.006501,0.007155,0.006395,0.006981,281,34785,0.01
netcoin,20141211,0.000299,0.000336,0.000299,0.000303,128,98079,0.00
fluttercoin,20141211,0.000273,0.000290,0.000263,0.000284,78,61281,0.00
canada-ecoin,20141211,0.000079,0.000313,0.000078,0.000313,424,838,0.00
cryptogenic-bullion,20141211,0.068467,0.069009,0.058761,0.065291,40,65465,0.06
fastcoin,20141211,0.000176,0.000186,0.000169,0.000172,16,17856,0.00
bytecent,20141211,0.327123,0.350848,0.308281,0.317208,2090,86034,0.33
megacoin,20141211,0.016234,0.016896,0.015724,0.015894,2009,429950,0.02
unbreakablecoin,20141211,0.005823,0.006107,0.005538,0.005924,2,9645,0.01
tittiecoin,20141211,0.000014,0.000014,0.000014,0.000014,16,,0.00
smartcoin,20141211,0.000372,0.000394,0.000362,0.000394,0,5859,0.00
rimbit,20141211,0.008608,0.009034,0.008469,0.008777,1,,0.01
petrodollar,20141211,0.000059,0.000061,0.000058,0.000060,1,3588,0.00
fuelcoin,20141211,0.060319,0.072082,0.060221,0.070497,32506,6038050,0.07
zetacoin,20141211,0.003304,0.003469,0.003288,0.003348,671,533031,0.00
teslacoin,20141211,0.000706,0.000708,0.000525,0.000572,6,42744,0.00
trollcoin,20141211,0.000003,0.000004,0.000003,0.000003,24,14869,0.00
digitalcoin,20141211,0.010415,0.011615,0.010299,0.011033,188,187214,0.01
fantomcoin,20141211,0.004476,0.004698,0.004205,0.004205,1,5882,0.00
hobonickels,20141211,0.015826,0.018043,0.015571,0.016824,324,122203,0.02
nyancoin,20141211,0.000008,0.000008,0.000008,0.000008,3,1280,0.00
i0coin,20141211,0.007226,0.007915,0.007109,0.007915,42,148041,0.01
triangles,20141211,0.033229,0.033606,0.031505,0.032588,2,1645,0.03
ultracoin,20141211,0.029296,0.029895,0.027406,0.028136,895,679791,0.03
maxcoin,20141211,0.007978,0.008471,0.007788,0.008226,910,302530,0.01
bitcoin-scrypt,20141211,0.000344,0.000691,0.000338,0.000683,1,3709,0.00
deutsche-emark,20141211,0.004373,0.004994,0.004302,0.004310,151,66224,0.00
corgicoin,20141211,3.5e-08,3.6e-08,3.4e-08,3.5e-08,1,3076,0.00
octocoin,20141211,0.000713,0.000748,0.000701,0.000725,42,25521,0.00
42-coin,20141211,1735.91,1847.02,1697.75,1780.50,199,1593,1772.38
aricoin,20141211,0.000207,0.000209,0.000193,0.000193,108,24377,0.00
bitbar,20141211,1.50,1.53,1.43,1.43,13,22686,1.48
titcoin,20141211,0.001484,0.001555,0.001436,0.001479,207,13564,0.00
britcoin,20141211,0.000258,0.000271,0.000254,0.000260,2,2796,0.00
bitstar,20141211,0.003588,0.004088,0.003530,0.004011,7,59913,0.00
opal,20141211,0.009976,0.010566,0.009600,0.010081,1164,149717,0.01
phoenixcoin,20141211,0.000331,0.000354,0.000327,0.000341,15,7884,0.00
orbitcoin,20141211,0.015086,0.016697,0.014758,0.016661,4,26863,0.02
cannacoin,20141211,0.015014,0.015484,0.010359,0.013899,426,69440,0.01
redcoin,20141211,0.000492,0.000499,0.000446,0.000446,19,2001,0.00
truckcoin,20141211,0.001377,0.001445,0.001355,0.001398,95,22487,0.00
joulecoin,20141211,0.000572,0.000614,0.000563,0.000609,13,8078,0.00
coin2-1,20141211,0.000124,0.000161,0.000124,0.000143,31,12393,0.00
supercoin,20141211,0.004191,0.004854,0.004142,0.004169,262,86502,0.00
gaia,20141211,0.001735,0.001934,0.001602,0.001854,1088,41827,0.00
coin,20141211,0.000028,0.000036,0.000027,0.000036,2,,0.00
dashcoin,20141211,1.6e-07,1.8e-07,1.3e-07,1.3e-07,150,10077,0.00
tagcoin,20141211,0.028493,0.028586,0.026289,0.026607,445,62930,0.03
bitcoinfast,20141211,0.007913,0.007927,0.001759,0.001759,1741,4847,0.00
halcyon,20141211,0.002606,0.003099,0.002564,0.003000,4,4239,0.00
blakecoin,20141211,0.002410,0.003142,0.002407,0.003088,213,11619,0.00
tekcoin,20141211,0.011535,0.012185,0.009310,0.011917,260,46731,0.01
prime-xi,20141211,0.000789,0.001690,0.000776,0.001301,211,1852,0.00
emerald,20141211,0.000809,0.000849,0.000796,0.000842,32,8476,0.00
goldreserve,20141211,0.000685,0.000719,0.000674,0.000694,1,8783,0.00
gapcoin,20141211,0.008605,0.008608,0.006797,0.007008,67,6042,0.01
litebar,20141211,0.051493,0.054037,0.050659,0.053322,6,9101,0.05
bitbtc,20141211,354.18,354.18,353.67,353.67,265,16844,353.93
sterlingcoin,20141211,0.004503,0.004939,0.004442,0.004586,197,14045,0.00
tigercoin,20141211,0.000313,0.000350,0.000308,0.000350,2,,0.00
globalboost-y,20141211,0.001182,0.001229,0.001086,0.001089,116,5274,0.00
quatloo,20141211,0.007932,0.009961,0.007251,0.007687,344,20285,0.01
argentum,20141211,0.002669,0.002939,0.002581,0.002664,48,3928,0.00
securecoin,20141211,0.016962,0.017336,0.016816,0.017293,311,38479,0.02
catcoin,20141211,0.003953,0.004289,0.003648,0.003704,15,6654,0.00
globalcoin,20141211,0.000224,0.000253,0.000220,0.000226,9,13092,0.00
sativacoin,20141211,0.000189,0.000199,0.000186,0.000193,1,,0.00
bitgem,20141211,0.223721,0.234576,0.220010,0.227329,0,6835,0.23
cachecoin,20141211,0.003340,0.004093,0.002240,0.003191,1,1110,0.00
philosopher-stones,20141211,0.009951,0.010893,0.009111,0.009111,5,23303,0.01
acoin,20141211,0.012923,0.024465,0.012923,0.014932,354,4597,0.02
usde,20141211,0.000059,0.000061,0.000058,0.000061,52,55983,0.00
spots,20141211,0.000176,0.000184,0.000173,0.000183,1,2367,0.00
quazarcoin,20141211,0.004476,0.004698,0.004205,0.004205,76,5539,0.00
ronpaulcoin,20141211,0.031015,0.032522,0.030489,0.032291,10,6452,0.03
yacoin,20141211,0.000968,0.001021,0.000963,0.001020,113,28289,0.00
quebecoin,20141211,0.000344,0.000361,0.000339,0.000350,2,7917,0.00
cashcoin,20141211,0.000348,0.000379,0.000342,0.000378,3,1583,0.00
photon,20141211,3.8e-07,4.3e-07,3.5e-07,3.5e-07,2,1598,0.00
gcoin,20141211,5.2e-08,5.5e-08,4.7e-08,5.2e-08,32,3255,0.00
virtacoin,20141211,0.000006,0.000006,0.000003,0.000004,127,54700,0.00
cryptcoin,20141211,0.011166,0.013449,0.010453,0.010453,998,64989,0.01
shadowcash,20141211,0.091733,0.097511,0.079966,0.086715,10723,591645,0.09
fimkrypto,20141211,0.000604,0.000639,0.000529,0.000529,41,245946,0.00
mincoin,20141211,0.006273,0.007507,0.006229,0.006447,33,10798,0.01
lottocoin,20141211,0.000001,0.000001,0.000001,0.000001,41,15349,0.00
blazecoin,20141211,0.000003,0.000004,0.000003,0.000003,1,829,0.00
joincoin,20141211,0.004204,0.004412,0.004136,0.004328,0,,0.00
freicoin,20141211,0.001371,0.002165,0.001363,0.001920,97,63027,0.00
kittehcoin,20141211,7.4e-07,8.2e-07,7.4e-07,8.2e-07,6,17296,0.00
franko,20141211,0.031086,0.032200,0.028945,0.028958,988,9019,0.03
