coin,date,open,high,low,close,volume,marketcap,average
bitcoin,20131222,601.78,666.74,585.64,617.18,,7315940000,626.19
bitcoin,20131222,601.78,666.74,585.64,617.18,,7315940000,626.19
ripple,20131222,0.021571,0.023839,0.020959,0.021716,,168637000,0.02
litecoin,20131222,16.60,18.23,16.19,16.86,,401059000,17.21
dogecoin,20131222,0.000391,0.000498,0.000280,0.000315,,4333660,0.00
nxt,20131222,0.018058,0.041041,0.015040,0.033240,,18058200,0.03
peercoin,20131222,3.01,3.36,2.98,3.06,,63024700,3.17
feathercoin,20131222,0.252748,0.283452,0.245504,0.259216,,6842360,0.26
namecoin,20131222,3.98,4.39,3.91,4.04,,30079100,4.15
diamond,20131222,1.28,1.82,1.24,1.32,,240646,1.53
florincoin,20131222,0.011327,0.013279,0.011315,0.011866,,387132,0.01
primecoin,20131222,2.02,2.25,1.93,2.04,,7414080,2.09
unobtanium,20131222,6.44,10.11,5.70,9.59,,680483,7.90
goldcoin,20131222,0.043443,0.049905,0.041545,0.042135,,1259690,0.05
sexcoin,20131222,0.021002,0.021611,0.018515,0.018791,,978690,0.02
novacoin,20131222,11.23,12.54,11.05,11.50,,5930280,11.79
quark,20131222,0.087354,0.098483,0.083954,0.084986,,21546500,0.09
ixcoin,20131222,0.108320,0.125329,0.107782,0.111092,,1864200,0.12
terracoin,20131222,0.385139,0.422566,0.369462,0.370308,,1809360,0.40
anoncoin,20131222,3.61,4.05,3.55,3.67,,2180400,3.80
worldcoin,20131222,0.375493,0.433863,0.371599,0.385330,,13671500,0.40
netcoin,20131222,0.004861,0.005025,0.003951,0.004822,,891019,0.00
cryptogenic-bullion,20131222,1.68,1.86,1.47,1.67,,1556820,1.67
fastcoin,20131222,0.015682,0.017250,0.014068,0.016664,,727766,0.02
megacoin,20131222,0.485985,0.570441,0.469342,0.518555,,10390500,0.52
zetacoin,20131222,0.035294,0.039117,0.030647,0.033303,,5611250,0.03
digitalcoin,20131222,0.228412,0.278678,0.207139,0.207613,,2655530,0.24
hobonickels,20131222,0.054786,0.081636,0.054786,0.061033,,119371,0.07
i0coin,20131222,0.015363,0.022903,0.015102,0.017281,,307817,0.02
deutsche-emark,20131222,0.421246,0.540059,0.305389,0.462885,,1078330,0.42
bitbar,20131222,37.91,40.88,36.13,37.28,,326174,38.51
phoenixcoin,20131222,0.021351,0.027408,0.021018,0.023521,,157104,0.02
orbitcoin,20131222,0.239930,0.279441,0.205834,0.249273,,258609,0.24
joulecoin,20131222,0.068759,0.068759,0.039056,0.049936,,181125,0.05
tagcoin,20131222,0.955175,1.27,0.696888,1.15,,506393,0.98
tigercoin,20131222,0.028272,0.047654,0.023718,0.034568,,603963,0.04
argentum,20131222,0.410432,0.437884,0.330444,0.343911,,214560,0.38
globalcoin,20131222,0.013733,0.015088,0.013370,0.014220,,346390,0.01
philosopher-stones,20131222,0.150445,0.238472,0.140571,0.165404,,227869,0.19
spots,20131222,0.034223,0.034510,0.030680,0.030680,,114490,0.03
yacoin,20131222,0.053209,0.056768,0.048492,0.052102,,696105,0.05
mincoin,20131222,0.271006,0.316615,0.263778,0.277756,,398701,0.29
freicoin,20131222,0.075222,0.082676,0.070619,0.080295,,2606380,0.08
franko,20131222,2.14,2.39,2.03,2.05,,180605,2.21
infinitecoin,20131222,0.000035,0.000039,0.000034,0.000035,,3083860,0.00
betacoin,20131222,0.087258,0.098879,0.061601,0.061780,,368839,0.08
casinocoin,20131222,0.033760,0.052221,0.027771,0.027835,,198107,0.04
