coin,date,open,high,low,close,volume,marketcap,average
bitcoin,20130911,125.89,137.83,123.27,135.25,,1470450000,130.55
bitcoin,20130911,125.89,137.83,123.27,135.25,,1470450000,130.55
ripple,20130911,0.005807,0.006393,0.005698,0.006273,,45397700,0.01
litecoin,20130911,2.64,2.81,2.61,2.72,,55825700,2.71
peercoin,20130911,0.190094,0.213637,0.188603,0.210990,,3850750,0.20
feathercoin,20130911,0.132185,0.141254,0.127617,0.136603,,2085220,0.13
namecoin,20130911,0.596719,0.639531,0.580602,0.631617,,3925000,0.61
primecoin,20130911,0.454727,0.479650,0.378843,0.409943,,917040,0.43
goldcoin,20130911,0.003836,0.004838,0.003835,0.004374,,102017,0.00
novacoin,20130911,3.66,3.90,3.39,3.83,,1432670,3.65
quark,20130911,0.000254,0.000280,0.000238,0.000280,,51421,0.00
ixcoin,20130911,0.009685,0.011026,0.009483,0.010405,,148599,0.01
terracoin,20130911,0.162398,0.175044,0.160244,0.171768,,604177,0.17
anoncoin,20130911,0.185751,0.224301,0.177958,0.209637,,80968,0.20
worldcoin,20130911,0.003904,0.004999,0.003740,0.004076,,76842,0.00
cryptogenic-bullion,20130911,0.371184,0.457984,0.355207,0.413865,,281454,0.41
fastcoin,20130911,0.001609,0.001730,0.001539,0.001572,,38689,0.00
megacoin,20130911,0.008510,0.009156,0.006794,0.008814,,154839,0.01
zetacoin,20130911,0.000530,0.000732,0.000528,0.000732,,61092,0.00
digitalcoin,20130911,0.020411,0.022348,0.020013,0.021924,,170687,0.02
bitbar,20130911,1.55,1.67,1.01,1.22,,8721,1.34
phoenixcoin,20130911,0.004949,0.006461,0.004948,0.006096,,17188,0.01
emerald,20130911,0.001520,0.002562,0.001485,0.002031,,3210,0.00
argentum,20130911,0.018133,0.019985,0.017745,0.019625,,7089,0.02
globalcoin,20130911,0.000327,0.000370,0.000263,0.000284,,5078,0.00
bitgem,20130911,0.226674,0.258918,0.208430,0.224518,,4542,0.23
spots,20130911,0.002777,0.004365,0.002420,0.002510,,3083,0.00
yacoin,20130911,0.006420,0.007305,0.006343,0.007168,,43218,0.01
mincoin,20130911,0.053503,0.082092,0.053478,0.060200,,70042,0.07
freicoin,20130911,0.005099,0.006581,0.004992,0.006439,,134205,0.01
franko,20130911,0.243020,0.326962,0.238010,0.268624,,13186,0.28
infinitecoin,20130911,0.000002,0.000002,0.000002,0.000002,,150181,0.00
elacoin,20130911,0.052892,0.057890,0.051775,0.056806,,1198,0.05
casinocoin,20130911,0.001762,0.001774,0.001571,0.001660,,4446,0.00
