coin,date,open,high,low,close,volume,marketcap,average
bitcoin,20130722,92.00,92.00,90.08,91.61,,1053000000,91.04
bitcoin,20130722,92.00,92.00,90.08,91.61,,1053000000,91.04
litecoin,20130722,2.95,2.95,2.86,2.89,,57698700,2.91
peercoin,20130722,0.141677,0.145183,0.136506,0.139247,,2791480,0.14
feathercoin,20130722,0.081878,0.082755,0.076334,0.080617,,894090,0.08
namecoin,20130722,0.494949,0.578238,0.485283,0.533170,,3003350,0.53
primecoin,20130722,1.04,1.06,0.631868,0.824490,,1164460,0.85
goldcoin,20130722,0.000726,0.000785,0.000703,0.000762,,15997,0.00
novacoin,20130722,3.90,5.80,3.79,4.40,,1221260,4.79
ixcoin,20130722,0.003958,0.004364,0.003848,0.003849,,56502,0.00
terracoin,20130722,0.151797,0.152972,0.142818,0.150240,,494556,0.15
anoncoin,20130722,0.071299,0.261337,0.070056,0.160393,,21147,0.17
worldcoin,20130722,0.011960,0.012755,0.010993,0.010994,,147792,0.01
fastcoin,20130722,0.004595,0.012207,0.004511,0.012093,,56682,0.01
megacoin,20130722,0.012245,0.018198,0.010862,0.013513,,160427,0.01
digitalcoin,20130722,0.032245,0.037648,0.031144,0.033622,,172367,0.03
bitbar,20130722,5.05,5.05,4.07,4.12,,22441,4.56
phoenixcoin,20130722,0.037719,0.052687,0.034736,0.036733,,128783,0.04
argentum,20130722,0.085097,0.089672,0.074156,0.081533,,32376,0.08
bitgem,20130722,0.827996,1.20,0.819932,1.15,,14801,1.01
yacoin,20130722,0.017940,0.019040,0.017565,0.018322,,82751,0.02
mincoin,20130722,0.039428,0.039428,0.032729,0.034812,,47345,0.04
freicoin,20130722,0.010931,0.011108,0.010703,0.010905,,248325,0.01
franko,20130722,1.09,1.74,1.06,1.51,,45568,1.40
infinitecoin,20130722,4e-07,4.4e-07,3.7e-07,3.8e-07,,23302,0.00
elacoin,20130722,0.108144,0.108144,0.084730,0.084740,,2429,0.10
