coin,date,open,high,low,close,volume,marketcap,average
bitcoin,20170820,4189.31,4196.29,4069.88,4087.66,2109770000,69192700000,4133.09
ethereum,20170820,296.64,301.43,291.58,301.43,571947000,27918100000,296.50
ripple,20170820,0.154569,0.161205,0.153432,0.158735,68542800,5926770000,0.16
bitcoin-cash,20170820,772.42,858.96,683.94,712.87,1494020000,12742600000,771.45
nem,20170820,0.254106,0.308286,0.253636,0.271441,13189900,2286960000,0.28
litecoin,20170820,45.38,47.55,44.75,46.23,138850000,2383680000,46.15
stellar,20170820,0.016481,0.018387,0.016148,0.017631,7276760,182687000,0.02
iota,20170820,0.971222,1.02,0.939619,0.942205,29447600,2699540000,0.98
dash,20170820,288.20,327.25,287.82,294.20,107973000,2162080000,307.53
neo,20170820,39.63,40.65,38.16,38.19,85862200,1981640000,39.41
monero,20170820,55.79,56.05,51.80,54.71,15702600,834239000,53.92
eos,20170820,1.40,1.42,1.36,1.37,15673200,412029000,1.39
qtum,20170820,11.54,12.35,10.82,11.79,40638800,680885000,11.59
lisk,20170820,2.96,3.98,2.47,3.40,47982900,329010000,3.23
raiblocks,20170820,0.156612,0.159527,0.142240,0.146028,101283,16549600,0.15
ethereum-classic,20170820,13.68,14.11,13.60,13.89,40155000,1295520000,13.86
verge,20170820,0.002073,0.002394,0.001992,0.002118,1138590,27796200,0.00
siacoin,20170820,0.006726,0.007793,0.006435,0.007696,8429580,193195000,0.01
omisego,20170820,7.76,8.84,7.17,8.44,74687700,762542000,8.00
bytecoin-bcn,20170820,0.001147,0.001260,0.001085,0.001210,1884760,210216000,0.00
bitconnect,20170820,119.53,119.61,114.63,116.77,4730720,774327000,117.12
populous,20170820,4.81,4.95,4.53,4.53,335168,198526000,4.74
zcash,20170820,232.05,250.96,224.80,241.07,30209100,463682000,237.88
stratis,20170820,5.66,5.96,5.43,5.73,13936500,557626000,5.70
bitshares,20170820,0.126000,0.135464,0.122783,0.132314,25872000,327357000,0.13
binance-coin,20170820,2.11,2.69,2.08,2.50,65350400,210821000,2.38
dogecoin,20170820,0.001670,0.001726,0.001636,0.001707,3050890,184872000,0.00
ardor,20170820,0.123494,0.139289,0.118883,0.136642,1582440,123370000,0.13
dentacoin,20170820,0.000207,0.000208,0.000133,0.000167,9565,3352990,0.00
status,20170820,0.054544,0.055908,0.052646,0.055248,6738530,189293000,0.05
steem,20170820,1.06,1.57,1.02,1.44,3358270,254472000,1.29
tether,20170820,0.997167,1.02,0.983909,0.996629,133754000,318596000,1.00
waves,20170820,4.43,4.92,4.29,4.86,4519570,442870000,4.61
digibyte,20170820,0.011946,0.016107,0.011369,0.015412,14552300,104434000,0.01
augur,20170820,19.57,21.30,19.29,20.55,1392230,215223000,20.30
dent,20170820,0.001330,0.001757,0.001274,0.001682,204514,13838200,0.00
0x,20170820,0.471296,0.475262,0.403409,0.424265,16016500,282777000,0.44
komodo,20170820,1.31,1.41,1.24,1.30,317971,131737000,1.32
golem-network-tokens,20170820,0.250226,0.282474,0.247042,0.273535,3467560,208447000,0.26
veritaseum,20170820,126.30,136.90,115.95,126.31,254550,253999000,126.43
basic-attention-token,20170820,0.211430,0.211901,0.197134,0.206131,2804550,211430000,0.20
hshare,20170820,20.38,20.58,18.98,20.37,6789300,,19.78
ark,20170820,1.59,1.76,1.49,1.66,2744590,154318000,1.62
funfair,20170820,0.031280,0.035951,0.030318,0.031369,820968,120100000,0.03
experience-points,20170820,0.000003,0.000006,0.000002,0.000003,4558,465594,0.00
decred,20170820,27.14,27.29,24.76,26.28,976831,151313000,26.02
ethos,20170820,1.24,1.27,1.13,1.16,856033,87995500,1.20
nexus,20170820,1.45,1.56,1.37,1.54,197457,75127600,1.47
reddcoin,20170820,0.001034,0.001075,0.000973,0.001018,454978,29556700,0.00
pivx,20170820,1.87,2.31,1.77,2.04,2125280,101012000,2.04
factom,20170820,20.80,23.51,20.20,22.70,4714330,181924000,21.86
aeternity,20170820,0.862227,1.11,0.857671,1.05,23245,,0.98
monacoin,20170820,0.378654,0.402772,0.373188,0.393622,73197,20199500,0.39
bytom,20170820,0.226120,0.234244,0.210327,0.216560,19136800,151521000,0.22
gas,20170820,32.69,32.69,28.57,29.56,1522630,95695200,30.63
digitalnote,20170820,0.001884,0.002359,0.001842,0.002342,1141920,12971600,0.00
nxt,20170820,0.103508,0.115961,0.100162,0.114357,9386530,103405000,0.11
bitcoindark,20170820,52.01,55.97,50.76,54.99,84331,67034800,53.36
byteball,20170820,344.06,373.50,315.22,354.12,1115890,181090000,344.36
maidsafecoin,20170820,0.443930,0.492460,0.426330,0.481021,2672700,200901000,0.46
syscoin,20170820,0.117670,0.135576,0.114520,0.126950,2278780,62004500,0.13
iconomi,20170820,3.11,3.54,3.07,3.41,1637800,270520000,3.30
santiment,20170820,0.373356,0.398104,0.357023,0.387648,892665,22297500,0.38
digixdao,20170820,75.38,79.06,73.06,78.49,346088,150758000,76.06
tenx,20170820,4.17,4.41,3.78,4.05,21808800,436462000,4.09
zcoin,20170820,9.28,9.87,9.13,9.72,299338,26073800,9.50
gnosis-gno,20170820,161.18,173.23,157.65,171.58,852718,178038000,165.44
paccoin,20170820,7.1e-08,9.8e-08,6.9e-08,9.3e-08,1573,,0.00
civic,20170820,0.555268,0.601093,0.510692,0.560707,8170140,188791000,0.56
bancor,20170820,2.57,2.66,2.51,2.60,2516270,104879000,2.58
gamecredits,20170820,1.76,2.35,1.76,2.32,6754180,112712000,2.06
zclassic,20170820,1.27,1.46,1.23,1.39,63111,2294150,1.34
storj,20170820,1.09,1.16,1.03,1.09,3724700,82551000,1.09
pillar,20170820,0.160494,0.180636,0.142895,0.149056,219065,89876700,0.16
gxshares,20170820,3.89,3.98,3.63,3.76,8860590,,3.80
vertcoin,20170820,0.473231,0.548681,0.460700,0.503577,1700280,18315200,0.50
skycoin,20170820,3.96,3.96,3.60,3.85,65105,23097800,3.78
blocknet,20170820,13.49,14.09,12.93,13.39,129403,53483200,13.51
bitbay,20170820,0.022148,0.027209,0.021037,0.024442,362603,22317500,0.02
xtrabytes,20170820,0.020001,0.026065,0.019188,0.024989,123850,13000300,0.02
ubiq,20170820,1.80,1.92,1.77,1.83,1008040,67912100,1.84
monaco,20170820,11.87,14.58,10.93,14.09,14718500,116504000,12.75
nav-coin,20170820,0.234213,0.266555,0.225242,0.250490,253340,14440700,0.25
singulardtv,20170820,0.143444,0.164527,0.137088,0.164176,872089,86066200,0.15
aragon,20170820,2.55,2.86,2.45,2.77,739923,85718500,2.66
smartcash,20170820,0.015124,0.016837,0.013559,0.013830,3812,4009040,0.02
edgeless,20170820,0.752113,0.797112,0.698878,0.796741,1437620,61708000,0.75
district0x,20170820,0.176636,0.257331,0.165119,0.257331,7091820,105982000,0.21
sonm,20170820,0.075600,0.080677,0.067192,0.074866,395666,25050800,0.07
emercoin,20170820,0.868226,1.66,0.820038,1.65,2052930,35226800,1.24
rlc,20170820,0.749922,0.822475,0.693306,0.693306,746474,59296900,0.76
adx-net,20170820,1.66,1.70,1.33,1.45,14612500,88525500,1.52
einsteinium,20170820,0.038862,0.044289,0.036740,0.040972,529523,8286870,0.04
particl,20170820,8.08,9.00,7.43,7.75,296757,62040000,8.21
firstblood,20170820,0.653451,0.692552,0.633657,0.687747,1846050,55908200,0.66
burst,20170820,0.005719,0.006959,0.005589,0.006733,719879,10296300,0.01
triggers,20170820,0.183016,0.253796,0.162711,0.185087,441567,5875830,0.21
viacoin,20170820,0.979829,1.10,0.918716,1.05,445791,22334300,1.01
flash,20170820,0.004353,0.004567,0.003888,0.004154,7333,,0.00
mobilego,20170820,1.11,1.11,1.05,1.08,339820,108591000,1.08
wings,20170820,0.589144,0.614308,0.557635,0.593541,543930,52851100,0.59
metaverse,20170820,3.43,3.44,3.23,3.30,367231,77604000,3.33
peercoin,20170820,1.51,1.69,1.51,1.66,631111,36545700,1.60
counterparty,20170820,12.14,17.59,11.71,17.07,2338520,31774900,14.65
melon,20170820,73.31,75.09,70.52,74.55,247749,43939300,72.81
zencash,20170820,7.73,7.87,7.15,7.54,200055,15064100,7.51
decent,20170820,1.33,1.40,1.30,1.37,1807660,68080500,1.35
quantum-resistant-ledger,20170820,0.671386,0.738613,0.576763,0.695638,1036720,34912100,0.66
hempcoin,20170820,0.007089,0.007786,0.006656,0.007412,13410,1588120,0.01
library-credit,20170820,0.344383,0.431908,0.340719,0.396916,2713130,23598700,0.39
mooncoin,20170820,0.000055,0.000065,0.000041,0.000045,11412,12176800,0.00
rise,20170820,0.090036,0.095879,0.083553,0.089951,137588,9668750,0.09
coindash,20170820,0.140828,0.161336,0.128750,0.148448,3674290,,0.15
agoras-tokens,20170820,0.425724,0.442439,0.413734,0.426047,11199,17880400,0.43
cloakcoin,20170820,4.75,4.93,4.46,4.75,250066,24124500,4.70
wagerr,20170820,0.110607,0.115497,0.097657,0.099443,81129,20241200,0.11
aeon,20170820,0.553106,0.685691,0.532800,0.653039,42537,8103630,0.61
metal,20170820,10.00,10.81,9.27,9.36,2761560,193000000,10.04
asch,20170820,0.760490,0.840422,0.728851,0.769085,4577690,57036800,0.78
shift,20170820,1.39,1.39,1.24,1.25,177273,15407800,1.31
voxels,20170820,0.054901,0.071010,0.052429,0.061789,674161,11529200,0.06
jinn,20170820,143.72,161.88,140.80,149.80,2247,8437060,151.34
groestlcoin,20170820,0.085504,0.099044,0.084413,0.098465,234339,5831620,0.09
cofound-it,20170820,0.191130,0.215295,0.182428,0.210529,522895,62117200,0.20
gulden,20170820,0.087047,0.109437,0.081297,0.101295,361784,30567500,0.10
adtoken,20170820,0.054909,0.055811,0.049429,0.053456,128450,32945300,0.05
ixledger,20170820,0.445610,0.951745,0.442064,0.842444,529738,15943400,0.70
lunyr,20170820,13.25,13.40,12.22,12.78,1525260,30438500,12.81
pura,20170820,0.265273,0.272977,0.251271,0.252914,321915,,0.26
trust,20170820,0.225860,0.247251,0.215796,0.238873,252675,20812400,0.23
feathercoin,20170820,0.052490,0.058360,0.049921,0.053768,1162410,9053290,0.05
guppy,20170820,0.229177,0.252340,0.225769,0.241728,278508,17188200,0.24
