coin,date,open,high,low,close,volume,marketcap,average
peerplays-ppy,,,,,,,,
peerplays-ppy,, with dashes in place of spaces.,,,,,,
peerplays-ppy,,,,,,,,
dian,,,,,,,,
dian,, with dashes in place of spaces.,,,,,,
dian,,,,,,,,
guncoin,,,,,,,,
guncoin,, with dashes in place of spaces.,,,,,,
guncoin,,,,,,,,
