coin,date,open,high,low,close,volume,marketcap,average
bitcoin,20131217,706.37,754.83,630.88,682.12,,8570390000,692.86
bitcoin,20131217,706.37,754.83,630.88,682.12,,8570390000,692.86
ripple,20131217,0.021399,0.021612,0.018043,0.018313,,167292000,0.02
litecoin,20131217,24.43,26.12,19.79,21.97,,586726000,22.95
dogecoin,20131217,0.000207,0.000289,0.000116,0.000269,,1526120,0.00
nxt,20131217,0.006357,0.014281,0.000784,0.006610,,6357330,0.01
peercoin,20131217,3.33,3.65,2.86,3.21,,69764500,3.25
feathercoin,20131217,0.331994,0.347222,0.277587,0.300133,,8792450,0.31
namecoin,20131217,4.53,4.84,3.91,4.12,,33965500,4.38
florincoin,20131217,0.030013,0.032128,0.019010,0.020402,,995404,0.03
primecoin,20131217,2.83,2.98,2.32,2.55,,10182800,2.65
goldcoin,20131217,0.075631,0.087565,0.066942,0.068642,,2188060,0.08
sexcoin,20131217,0.023763,0.036312,0.018991,0.032939,,1071040,0.03
novacoin,20131217,14.02,14.76,12.72,12.96,,7306690,13.74
quark,20131217,0.113012,0.132733,0.080272,0.119528,,27848600,0.11
ixcoin,20131217,0.136449,0.191298,0.116424,0.190243,,2335730,0.15
terracoin,20131217,0.466204,0.498188,0.352517,0.416093,,2167210,0.43
anoncoin,20131217,4.13,4.40,3.52,3.79,,2441710,3.96
worldcoin,20131217,0.353178,0.371488,0.065659,0.347881,,12583500,0.22
netcoin,20131217,0.004403,0.007164,0.003813,0.004203,,789974,0.01
cryptogenic-bullion,20131217,2.83,2.85,1.99,2.20,,2605000,2.42
fastcoin,20131217,0.028968,0.031105,0.022081,0.024113,,1311310,0.03
megacoin,20131217,0.401362,0.599476,0.392914,0.450226,,8552560,0.50
zetacoin,20131217,0.038490,0.040831,0.020682,0.023758,,6107320,0.03
digitalcoin,20131217,0.327198,0.359055,0.223054,0.279383,,3760530,0.29
i0coin,20131217,0.036964,0.039553,0.028255,0.030013,,740073,0.03
deutsche-emark,20131217,0.353185,0.469543,0.316077,0.402437,,840722,0.39
bitbar,20131217,50.45,53.91,44.94,45.70,,429808,49.42
phoenixcoin,20131217,0.055675,0.055970,0.044030,0.051275,,399351,0.05
tagcoin,20131217,0.770092,0.980504,0.556474,0.619283,,380202,0.77
argentum,20131217,0.430031,0.476769,0.324239,0.422744,,224677,0.40
globalcoin,20131217,0.022802,0.023747,0.018771,0.021466,,566508,0.02
spots,20131217,0.054936,0.074022,0.046734,0.060081,,175615,0.06
yacoin,20131217,0.066964,0.088368,0.053400,0.066077,,855632,0.07
mincoin,20131217,0.505069,0.506356,0.346658,0.369109,,736238,0.43
freicoin,20131217,0.117964,0.120773,0.067648,0.088682,,4053080,0.09
franko,20131217,3.07,3.55,2.66,2.73,,249347,3.10
infinitecoin,20131217,0.000041,0.000047,0.000030,0.000030,,3647180,0.00
betacoin,20131217,0.079544,0.192627,0.069177,0.190994,,315625,0.13
casinocoin,20131217,0.050181,0.053908,0.025361,0.041609,,260554,0.04
