coin,date,open,high,low,close,volume,marketcap,average
bitcoin,20140112,919.60,928.52,851.17,863.22,39623500,11264800000,889.85
bitcoin,20140112,919.60,928.52,851.17,863.22,39623500,11264800000,889.85
ripple,20140112,0.024162,0.024396,0.022044,0.022044,42581,188894000,0.02
litecoin,20140112,27.05,27.42,24.56,25.09,20433500,670489000,25.99
dogecoin,20140112,0.000359,0.000375,0.000323,0.000345,296158,9321690,0.00
nxt,20140112,0.044743,0.046016,0.039195,0.040386,87126,44743000,0.04
peercoin,20140112,6.53,6.64,6.07,6.16,1391360,137354000,6.36
mooncoin,20140112,0.000006,0.000006,0.000006,0.000006,2264,77227,0.00
feathercoin,20140112,0.377036,0.389012,0.345288,0.345288,224788,11119800,0.37
namecoin,20140112,6.92,7.03,6.44,6.53,1359700,53500500,6.74
dimecoin,20140112,0.000001,0.000001,6.8e-07,6.9e-07,148,91698,0.00
diamond,20140112,1.21,1.35,1.13,1.22,4749,261250,1.24
omni,20140112,128.89,138.45,91.76,127.39,90428,79846400,115.10
earthcoin,20140112,0.002058,0.002095,0.001700,0.001709,13694,1448560,0.00
fedoracoin,20140112,1e-06,0.000001,7.3e-07,8.6e-07,5418,61013,0.00
florincoin,20140112,0.017656,0.017824,0.015820,0.016396,4225,676742,0.02
primecoin,20140112,3.83,3.92,3.52,3.58,118767,15215900,3.72
unobtanium,20140112,6.02,6.14,4.56,5.96,15700,749455,5.35
goldcoin,20140112,0.041115,0.042391,0.034132,0.034563,2415,1203240,0.04
sexcoin,20140112,0.015858,0.015886,0.012465,0.012779,10902,839352,0.01
novacoin,20140112,16.53,16.73,15.34,15.41,91973,9205010,16.04
quark,20140112,0.079555,0.081682,0.070051,0.073641,41505,19666200,0.08
ixcoin,20140112,0.125967,0.136405,0.113142,0.113142,460,2215970,0.12
terracoin,20140112,0.570152,0.578642,0.487418,0.517932,41689,2789760,0.53
anoncoin,20140112,5.10,5.37,4.76,5.00,14496,3342390,5.06
worldcoin,20140112,0.446392,0.450617,0.406254,0.409296,105489,17705600,0.43
netcoin,20140112,0.018061,0.018236,0.016259,0.017696,16464,3613740,0.02
cryptogenic-bullion,20140112,1.33,1.33,1.05,1.11,12117,1239070,1.19
fastcoin,20140112,0.014015,0.014015,0.010214,0.010816,11606,717996,0.01
megacoin,20140112,0.828458,0.843667,0.776276,0.783597,6436,17966300,0.81
zetacoin,20140112,0.025969,0.028224,0.023381,0.026760,19013,4145610,0.03
digitalcoin,20140112,0.370338,0.376456,0.357295,0.357295,20111,4538430,0.37
hobonickels,20140112,0.055562,0.056615,0.048295,0.050783,853,138474,0.05
i0coin,20140112,0.030650,0.030948,0.026599,0.027623,794,615970,0.03
deutsche-emark,20140112,0.156148,0.156148,0.109219,0.117683,4737,516303,0.13
bitbar,20140112,114.07,144.40,108.48,129.48,50620,1043680,126.44
phoenixcoin,20140112,0.015173,0.015330,0.011895,0.011895,755,126793,0.01
orbitcoin,20140112,0.087923,0.104059,0.085083,0.097397,240,95199,0.09
tagcoin,20140112,2.08,2.14,1.86,1.95,11772,1430590,2.00
tigercoin,20140112,0.008773,0.009709,0.006456,0.006681,3636,217082,0.01
argentum,20140112,0.298980,0.328086,0.237653,0.240096,1823,174928,0.28
catcoin,20140112,0.294272,0.300142,0.236015,0.250420,4991,308515,0.27
globalcoin,20140112,0.011035,0.011854,0.010141,0.010963,665,286714,0.01
philosopher-stones,20140112,0.155422,0.179553,0.146401,0.149337,1653,251511,0.16
ronpaulcoin,20140112,23.10,30.08,16.12,30.08,16162,279869,23.10
yacoin,20140112,0.037704,0.041440,0.031581,0.034529,1803,541926,0.04
mincoin,20140112,0.629135,0.633294,0.568995,0.582699,3492,955724,0.60
lottocoin,20140112,0.000166,0.000167,0.000147,0.000147,29341,606687,0.00
franko,20140112,1.78,1.80,1.63,1.68,1208,169865,1.71
infinitecoin,20140112,0.000075,0.000076,0.000068,0.000071,20715,6680560,0.00
elacoin,20140112,0.459800,1.47,0.356231,0.903109,29748,60557,0.91
betacoin,20140112,0.045980,0.047905,0.035611,0.047477,590,240814,0.04
casinocoin,20140112,0.014291,0.017612,0.013202,0.013388,3384,125800,0.02
