coin,date,open,high,low,close,volume,marketcap,average
bitcoin,20140904,477.68,493.93,477.09,489.66,26081400,6317100000,485.51
bitcoin,20140904,477.68,493.93,477.09,489.66,26081400,6317100000,485.51
ripple,20140904,0.004776,0.004818,0.004768,0.004805,124814,138453000,0.00
litecoin,20140904,4.87,5.29,4.86,5.18,3630100,154428000,5.08
stellar,20140904,0.002059,0.002177,0.002041,0.002130,58031,2296730,0.00
dash,20140904,2.66,3.40,2.60,3.08,393252,12295500,3.00
monero,20140904,2.03,2.16,1.88,2.05,186620,6507160,2.02
bytecoin-bcn,20140904,0.000016,0.000022,0.000016,0.000018,13517,2659540,0.00
bitshares,20140904,0.032618,0.034857,0.031020,0.031402,1023930,65235400,0.03
dogecoin,20140904,0.000140,0.000168,0.000139,0.000157,573631,12803600,0.00
digibyte,20140904,0.000121,0.000129,0.000111,0.000113,2395,151256,0.00
reddcoin,20140904,0.000071,0.000074,0.000063,0.000073,20086,1923640,0.00
monacoin,20140904,0.194291,0.216942,0.193726,0.209641,12016,2265380,0.21
digitalnote,20140904,0.000136,0.000215,0.000126,0.000203,46690,817780,0.00
nxt,20140904,0.028851,0.029538,0.027933,0.029254,74381,28851100,0.03
bitcoindark,20140904,5.01,5.37,4.87,5.36,44951,5921280,5.12
maidsafecoin,20140904,0.018875,0.020775,0.017882,0.020666,7749,8541790,0.02
syscoin,20140904,0.001517,0.001539,0.001370,0.001533,5683,557474,0.00
gamecredits,20140904,0.000014,0.000014,0.000014,0.000014,0,353,0.00
vertcoin,20140904,0.113907,0.116671,0.111224,0.112975,7119,858557,0.11
nav-coin,20140904,0.001471,0.001824,0.001414,0.001454,878,84071,0.00
emercoin,20140904,0.003463,0.003508,0.003400,0.003423,0,114581,0.00
einsteinium,20140904,0.000162,0.000184,0.000160,0.000169,221,22011,0.00
burst,20140904,0.003282,0.003790,0.002165,0.002497,13863,,0.00
viacoin,20140904,0.205357,0.240656,0.200684,0.207967,100452,2233130,0.22
peercoin,20140904,0.724791,0.772510,0.699620,0.767344,64765,15721200,0.74
counterparty,20140904,1.99,2.21,1.96,2.19,21060,5265850,2.08
hempcoin,20140904,0.000239,0.000382,0.000176,0.000176,119,27714,0.00
mooncoin,20140904,2.4e-07,3.2e-07,2.4e-07,2.6e-07,96,42613,0.00
cloakcoin,20140904,0.175649,0.189179,0.165546,0.176259,21953,795193,0.18
groestlcoin,20140904,0.000529,0.000563,0.000477,0.000495,73,26744,0.00
gulden,20140904,0.006753,0.007776,0.006263,0.006263,16341,752913,0.01
feathercoin,20140904,0.022408,0.022674,0.020599,0.021332,5159,1213120,0.02
iocoin,20140904,0.015470,0.020270,0.014782,0.016181,13628,247804,0.02
namecoin,20140904,1.02,1.09,1.01,1.06,57918,9882520,1.05
eccoin,20140904,0.000001,0.000002,0.000001,0.000002,7,24749,0.00
potcoin,20140904,0.003775,0.003945,0.003468,0.003840,3971,551633,0.00
newyorkcoin,20140904,1.2e-07,2e-07,1.2e-07,1.3e-07,20,11359,0.00
solarcoin,20140904,0.002817,0.003225,0.002602,0.002665,276,83669,0.00
dimecoin,20140904,4.9e-08,1e-07,4.9e-08,5.2e-08,15,12752,0.00
diamond,20140904,0.071652,0.071684,0.058594,0.064567,197,41056,0.07
blackcoin,20140904,0.040941,0.043299,0.040638,0.042358,36806,3056790,0.04
myriad,20140904,0.000236,0.000301,0.000236,0.000251,837,124361,0.00
faircoin,20140904,0.001600,0.002225,0.001578,0.001959,1069,80042,0.00
mintcoin,20140904,0.000017,0.000017,0.000011,0.000012,251,338043,0.00
omni,20140904,3.61,3.70,3.50,3.69,414,2031300,3.60
whitecoin,20140904,0.000334,0.000421,0.000284,0.000352,3576,101323,0.00
neoscoin,20140904,0.125424,0.137452,0.110695,0.126195,8949,159144,0.12
earthcoin,20140904,0.000014,0.000019,0.000010,0.000011,824,61746,0.00
fedoracoin,20140904,1.8e-07,2.5e-07,1.6e-07,1.6e-07,288,50054,0.00
rubycoin,20140904,0.003988,0.004266,0.003806,0.004035,128,88123,0.00
vericoin,20140904,0.043380,0.049251,0.042106,0.048908,16197,1164230,0.05
pinkcoin,20140904,0.000349,0.000399,0.000326,0.000354,1712,127076,0.00
florincoin,20140904,0.000191,0.000267,0.000185,0.000248,79,12953,0.00
clams,20140904,0.541665,0.776810,0.415445,0.533724,136,47729,0.60
stealthcoin,20140904,0.019121,0.035653,0.018566,0.032641,239630,400399,0.03
noblecoin,20140904,0.000029,0.000037,0.000029,0.000035,537,50960,0.00
energycoin,20140904,0.000186,0.000188,0.000126,0.000162,624,20808,0.00
carboncoin,20140904,0.000005,0.000005,0.000005,0.000005,32,63280,0.00
zeitcoin,20140904,0.000001,0.000001,0.000001,0.000001,0,30408,0.00
pandacoin-pnd,20140904,0.000014,0.000014,0.000010,0.000014,1154,434724,0.00
artbyte,20140904,0.000210,0.000230,0.000162,0.000181,187,15475,0.00
curecoin,20140904,0.037374,0.037386,0.032023,0.032747,177,58603,0.03
bitmark,20140904,0.074189,0.074741,0.065849,0.066104,199,49672,0.07
primecoin,20140904,0.169831,0.181098,0.165474,0.179148,4738,1182720,0.17
boolberry,20140904,0.582772,0.582772,0.459365,0.499773,65532,765587,0.52
dopecoin,20140904,0.000057,0.000104,0.000038,0.000064,209,5159,0.00
unobtanium,20140904,2.17,2.19,1.97,2.00,1320,414180,2.08
cannabiscoin,20140904,0.008242,0.009056,0.007129,0.007156,15577,662689,0.01
pesetacoin,20140904,0.000535,0.000603,0.000416,0.000416,142,30425,0.00
hyperstake,20140904,0.005307,0.005308,0.004215,0.004692,71,81191,0.00
goldcoin,20140904,0.008544,0.009662,0.008440,0.008778,100,275902,0.01
bitcoin-plus,20140904,0.189490,0.212027,0.129873,0.211489,140,10488,0.17
startcoin,20140904,0.009062,0.009555,0.008120,0.008334,174,15060,0.01
belacoin,20140904,0.000047,0.000057,0.000043,0.000043,5,291,0.00
sexcoin,20140904,0.000529,0.000596,0.000529,0.000579,379,41875,0.00
dnotes,20140904,0.004743,0.004908,0.004539,0.004682,638,429823,0.00
auroracoin,20140904,0.064434,0.074704,0.063141,0.072146,4882,114254,0.07
asiacoin,20140904,0.000275,0.000290,0.000260,0.000288,135,52724,0.00
riecoin,20140904,0.007773,0.008614,0.007554,0.008471,714,45754,0.01
korecoin,20140904,0.043947,0.063763,0.043939,0.061702,6466,58309,0.05
novacoin,20140904,0.772615,0.807220,0.769678,0.796637,4774,625911,0.79
quark,20140904,0.006639,0.007054,0.006430,0.006545,1052,1647670,0.01
greencoin,20140904,0.000048,0.000049,0.000048,0.000049,172,11648,0.00
ixcoin,20140904,0.023286,0.025177,0.022860,0.024380,633,482128,0.02
trustplus,20140904,0.000419,0.000492,0.000338,0.000486,190,12945,0.00
terracoin,20140904,0.023487,0.025934,0.023487,0.024325,1204,155349,0.02
huntercoin,20140904,0.019040,0.019041,0.013322,0.015344,328,66226,0.02
anoncoin,20140904,0.324827,0.372526,0.324136,0.342632,2673,395516,0.35
worldcoin,20140904,0.007679,0.009222,0.007667,0.008944,7244,488775,0.01
mazacoin,20140904,0.000086,0.000092,0.000082,0.000087,90,46498,0.00
bluecoin,20140904,0.000173,0.000190,0.000165,0.000187,275,92212,0.00
cryptonite,20140904,0.005262,0.005779,0.004831,0.005223,2170,31147,0.01
e-gulden,20140904,0.004354,0.004757,0.004350,0.004505,82,17314,0.00
netcoin,20140904,0.000320,0.000343,0.000248,0.000310,610,93955,0.00
