coin,date,open,high,low,close,volume,marketcap,average
bitcoin,20160609,582.20,582.20,570.95,574.63,71301000,9103080000,576.58
ethereum,20160609,14.43,14.57,14.34,14.40,8256830,1166450000,14.46
bitcoin,20160609,582.20,582.20,570.95,574.63,71301000,9103080000,576.58
ethereum,20160609,14.43,14.57,14.34,14.40,8256830,1166450000,14.46
ripple,20160609,0.005769,0.005789,0.005750,0.005788,520793,201143000,0.01
nem,20160609,0.001967,0.001991,0.001806,0.001858,69457,17704500,0.00
litecoin,20160609,4.78,4.78,4.67,4.69,6438540,220448000,4.72
stellar,20160609,0.001496,0.001587,0.001471,0.001587,26347,8208060,0.00
dash,20160609,7.88,7.94,7.72,7.82,303753,51262200,7.83
monero,20160609,0.994472,1.22,0.989995,1.11,483161,12029500,1.10
lisk,20160609,0.473781,0.494781,0.459899,0.461552,1844730,47378100,0.48
verge,20160609,0.000024,0.000029,0.000023,0.000023,908,280880,0.00
siacoin,20160609,0.000569,0.000576,0.000530,0.000553,729373,8458220,0.00
bytecoin-bcn,20160609,0.000039,0.000042,0.000036,0.000039,1101,7016010,0.00
bitshares,20160609,0.003538,0.003683,0.003538,0.003639,76980,9060250,0.00
dogecoin,20160609,0.000246,0.000269,0.000245,0.000265,520075,25707700,0.00
steem,20160609,0.369780,0.406699,0.324058,0.390428,6334,18555100,0.37
tether,20160609,1.00,1.00,1.00,1.00,149115,2951590,1.00
waves,20160609,1.02,1.64,1.01,1.41,27163,,1.32
digibyte,20160609,0.000337,0.000342,0.000310,0.000316,39405,2230120,0.00
decred,20160609,1.65,1.70,1.61,1.64,14239,3043720,1.66
nexus,20160609,0.010272,0.011307,0.010219,0.010235,350,392330,0.01
reddcoin,20160609,0.000041,0.000041,0.000035,0.000038,587,1144500,0.00
pivx,20160609,0.003321,0.003498,0.003155,0.003241,884,124251,0.00
factom,20160609,0.967213,1.00,0.948960,0.994964,77114,8466230,0.97
monacoin,20160609,0.056650,0.059903,0.053270,0.057984,2384,1937490,0.06
digitalnote,20160609,0.000088,0.000109,0.000088,0.000109,5767,605096,0.00
nxt,20160609,0.006999,0.007063,0.006593,0.006958,31433,6998840,0.01
bitcoindark,20160609,1.38,1.55,1.35,1.47,4609,1752870,1.45
maidsafecoin,20160609,0.055004,0.058029,0.054093,0.055808,436743,24892000,0.06
syscoin,20160609,0.007336,0.007480,0.007124,0.007188,16164,3145370,0.01
digixdao,20160609,8.92,10.44,8.92,10.42,65406,17845800,9.68
paccoin,20160609,8.4e-09,1.4e-08,8.5e-09,1.2e-08,214,,0.00
gamecredits,20160609,0.043000,0.049882,0.036357,0.038886,53487,2385520,0.04
vertcoin,20160609,0.031799,0.032708,0.030653,0.032163,2801,733805,0.03
blocknet,20160609,0.060996,0.068190,0.054144,0.063483,497,238527,0.06
bitbay,20160609,0.000441,0.000458,0.000391,0.000414,363,443338,0.00
ubiq,20160609,0.048591,0.048637,0.043337,0.046987,1156,173739,0.05
nav-coin,20160609,0.004231,0.004703,0.004206,0.004341,35,252144,0.00
emercoin,20160609,0.144260,0.150305,0.138070,0.138502,2295,5464530,0.14
einsteinium,20160609,0.000307,0.000341,0.000304,0.000322,363,61147,0.00
burst,20160609,0.000215,0.000237,0.000211,0.000230,972,307706,0.00
viacoin,20160609,0.006036,0.006224,0.005743,0.005938,200,127472,0.01
peercoin,20160609,0.371732,0.378721,0.370314,0.376462,16521,8632150,0.37
counterparty,20160609,2.20,2.55,2.05,2.40,127675,5766080,2.30
